5 Minutes	Lane 1 Occ (%)	Lane 2 Occ (%)	Lane 3 Occ (%)	Lane 4 Occ (%)	Lane 5 Occ (%)	Occupancy (%)	# Lane Points	% Observed
11/02/2015 00:00	3.09	2.31	2.42	1.41	.94	2.03	5	100
11/02/2015 00:05	2.7	2.75	2.36	2.22	.78	2.16	5	100
11/02/2015 00:10	2.77	2.57	2.58	1.51	1.19	2.12	5	100
11/02/2015 00:15	2.12	1.98	2.35	1.79	1.08	1.86	5	100
11/02/2015 00:20	2.13	2.35	1.96	1.8	1.03	1.85	5	100
11/02/2015 00:25	2.06	2.11	2.93	1.69	.28	1.81	5	100
11/02/2015 00:30	1.44	2.4	2.79	1.12	.68	1.69	5	100
11/02/2015 00:35	2.34	2.09	1.85	1.67	.83	1.76	5	100
11/02/2015 00:40	1.7	1.7	1.71	1.83	.85	1.56	5	100
11/02/2015 00:45	1.92	2.11	1.8	2.19	.84	1.77	5	100
11/02/2015 00:50	1.77	2.05	1.76	1.72	.52	1.56	5	100
11/02/2015 00:55	1.57	1.7	1.94	2.03	1.28	1.7	5	100
11/02/2015 01:00	1.18	1.29	.81	1.34	.19	.96	5	100
11/02/2015 01:05	1.69	1.98	1.91	.75	.31	1.33	5	100
11/02/2015 01:10	1.03	1.5	1.03	1.01	.28	.97	5	100
11/02/2015 01:15	1.42	1.51	1.22	1.02	.51	1.14	5	100
11/02/2015 01:20	.39	1.34	.91	.83	.63	.82	5	100
11/02/2015 01:25	.9	1.25	1.3	1.42	.78	1.13	5	100
11/02/2015 01:30	1.03	1.27	1.56	1.7	.79	1.27	5	100
11/02/2015 01:35	1.48	1.37	1.49	.78	.61	1.15	5	100
11/02/2015 01:40	.6	.83	.96	.92	.63	.79	5	100
11/02/2015 01:45	1.06	.95	1.5	1.31	.43	1.05	5	100
11/02/2015 01:50	.73	.78	.9	1.38	.87	.93	5	100
11/02/2015 01:55	.91	.75	.64	1.2	.19	.74	5	100
11/02/2015 02:00	.83	.87	1.29	.76	.38	.83	5	100
11/02/2015 02:05	.48	.91	.78	1.14	.44	.75	5	100
11/02/2015 02:10	.63	.7	1.09	.79	.13	.67	5	100
11/02/2015 02:15	.66	1.12	1.19	1.92	.28	1.03	5	100
11/02/2015 02:20	.48	1.21	1.05	.9	.55	.84	5	100
11/02/2015 02:25	.56	.82	1.04	2.03	.73	1.04	5	100
11/02/2015 02:30	1.11	.81	1.27	.86	.22	.85	5	100
11/02/2015 02:35	.45	1.13	1.08	.68	.14	.7	5	100
11/02/2015 02:40	.65	1	1.64	1.01	.22	.9	5	100
11/02/2015 02:45	.5	1.17	1.86	1.46	.6	1.12	5	100
11/02/2015 02:50	.69	.67	1.01	1.31	.28	.79	5	100
11/02/2015 02:55	.76	1.12	2.01	1.63	.69	1.24	5	100
11/02/2015 03:00	.61	.79	2.43	1.34	.6	1.15	5	100
11/02/2015 03:05	.87	.5	1.17	1.77	.7	1	5	100
11/02/2015 03:10	.32	1.12	1	1.71	.58	.95	5	100
11/02/2015 03:15	.58	.88	1.43	.94	.58	.88	5	100
11/02/2015 03:20	.86	.9	2.12	1.17	.29	1.07	5	100
11/02/2015 03:25	.67	1.08	2.4	.67	.56	1.08	5	100
