5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/02/2015 00:00	37	54	39	31	161	4	0
11/02/2015 00:05	39	46	41	27	153	4	0
11/02/2015 00:10	36	40	35	26	137	4	0
11/02/2015 00:15	37	46	31	28	142	4	0
11/02/2015 00:20	28	45	32	21	126	4	0
11/02/2015 00:25	39	41	41	21	142	4	0
11/02/2015 00:30	34	43	29	27	133	4	0
11/02/2015 00:35	26	39	33	21	119	4	0
11/02/2015 00:40	29	30	27	16	102	4	0
11/02/2015 00:45	37	29	29	17	112	4	0
11/02/2015 00:50	23	39	23	20	105	4	0
11/02/2015 00:55	23	34	24	17	98	4	0
11/02/2015 01:00	19	27	24	20	90	4	0
11/02/2015 01:05	18	27	24	19	88	4	0
11/02/2015 01:10	20	30	40	10	100	4	0
11/02/2015 01:15	20	31	24	17	92	4	0
11/02/2015 01:20	14	23	20	13	70	4	0
11/02/2015 01:25	19	20	18	18	75	4	0
11/02/2015 01:30	18	20	19	9	66	4	0
11/02/2015 01:35	18	20	25	14	77	4	0
11/02/2015 01:40	11	15	18	8	52	4	0
11/02/2015 01:45	14	21	20	11	66	4	0
11/02/2015 01:50	14	21	19	9	63	4	0
11/02/2015 01:55	15	18	16	9	58	4	0
11/02/2015 02:00	17	18	19	6	60	4	0
11/02/2015 02:05	11	14	14	14	53	4	0
11/02/2015 02:10	13	21	20	9	63	4	0
11/02/2015 02:15	6	14	11	10	41	4	0
11/02/2015 02:20	10	15	17	8	50	4	0
11/02/2015 02:25	15	19	18	8	60	4	0
11/02/2015 02:30	13	15	18	10	56	4	0
11/02/2015 02:35	14	15	13	10	52	4	0
11/02/2015 02:40	13	19	19	9	60	4	0
11/02/2015 02:45	16	19	18	15	68	4	0
11/02/2015 02:50	13	16	16	9	54	4	0
11/02/2015 02:55	13	20	19	9	61	4	0
11/02/2015 03:00	11	23	16	9	59	4	0
11/02/2015 03:05	16	20	16	9	61	4	0
11/02/2015 03:10	20	13	18	11	62	4	0
11/02/2015 03:15	20	23	23	6	72	4	0
11/02/2015 03:20	13	24	16	14	67	4	0
11/02/2015 03:25	20	24	22	12	78	4	0
11/02/2015 03:30	20	30	17	14	81	4	0
11/02/2015 03:35	24	31	26	14	95	4	0
11/02/2015 03:40	29	41	31	16	117	4	0
11/02/2015 03:45	29	43	26	19	117	4	0
11/02/2015 03:50	37	41	37	19	134	4	0
11/02/2015 03:55	35	39	29	18	121	4	0
11/02/2015 04:00	28	37	28	14	107	4	0
11/02/2015 04:05	39	41	31	19	130	4	0
11/02/2015 04:10	43	51	34	25	153	4	0
11/02/2015 04:15	51	50	40	21	162	4	0
11/02/2015 04:20	63	63	47	26	199	4	0
11/02/2015 04:25	69	74	54	29	226	4	0
