5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 08:40	130	131	147	179	183	66	836	6	100
11/09/2015 08:45	124	133	113	189	161	77	797	6	100
11/09/2015 08:50	121	114	127	186	191	61	800	6	100
11/09/2015 08:55	124	101	119	189	177	73	783	6	100
11/09/2015 09:00	121	130	126	159	179	74	789	6	100
11/09/2015 09:05	123	133	137	174	180	74	821	6	100
11/09/2015 09:10	141	139	147	180	164	64	835	6	100
11/09/2015 09:15	133	139	136	176	149	77	810	6	100
11/09/2015 09:20	126	123	144	183	161	60	797	6	100
11/09/2015 09:25	130	130	137	171	167	59	794	6	100
11/09/2015 09:30	116	133	139	156	150	69	763	6	100
11/09/2015 09:35	123	124	114	181	167	64	773	6	100
11/09/2015 09:40	137	130	134	169	177	66	813	6	100
11/09/2015 09:45	143	130	149	170	161	50	803	6	100
11/09/2015 09:50	150	124	153	196	169	46	838	6	100
11/09/2015 09:55	119	119	123	170	174	53	758	6	100
11/09/2015 10:00	127	139	150	169	177	50	812	6	100
11/09/2015 10:05	123	126	131	164	161	46	751	6	100
11/09/2015 10:10	123	111	104	166	151	54	709	6	100
11/09/2015 10:15	120	131	126	157	143	74	751	6	100
11/09/2015 10:20	129	104	114	156	166	34	703	6	100
11/09/2015 10:25	119	109	103	159	156	43	689	6	100
11/09/2015 10:30	100	97	96	137	144	34	608	6	100
11/09/2015 10:35	107	106	119	170	139	46	687	6	100
11/09/2015 10:40	103	107	106	157	136	36	645	6	100
11/09/2015 10:45	100	109	124	160	110	33	636	6	100
11/09/2015 10:50	120	119	124	186	151	41	741	6	100
11/09/2015 10:55	123	119	110	157	141	41	691	6	100
11/09/2015 11:00	121	114	133	151	137	47	703	6	100
11/09/2015 11:05	121	120	120	154	153	47	715	6	100
11/09/2015 11:10	121	121	129	177	159	47	754	6	100
11/09/2015 11:15	136	113	140	167	151	33	740	6	100
11/09/2015 11:20	117	121	120	161	144	56	719	6	100
11/09/2015 11:25	137	129	114	174	157	54	765	6	100
11/09/2015 11:30	133	136	131	166	154	49	769	6	100
11/09/2015 11:35	121	120	121	187	163	49	761	6	100
11/09/2015 11:40	121	127	117	176	167	59	767	6	100
11/09/2015 11:45	129	127	130	176	156	51	769	6	100
11/09/2015 11:50	164	146	134	171	147	54	816	6	100
11/09/2015 11:55	123	126	133	191	163	47	783	6	100
11/09/2015 12:00	136	133	131	153	141	36	730	6	100
11/09/2015 12:05	141	131	134	196	150	51	803	6	100
11/09/2015 12:10	121	126	129	174	160	39	749	6	100
11/09/2015 12:15	147	107	141	166	163	51	775	6	100
11/09/2015 12:20	143	133	134	184	153	51	798	6	100
11/09/2015 12:25	121	123	131	141	150	47	713	6	100
11/09/2015 12:30	141	146	129	169	153	29	767	6	100
11/09/2015 12:35	136	130	156	184	159	47	812	6	100
11/09/2015 12:40	149	144	140	194	151	40	818	6	100
11/09/2015 12:45	140	130	110	167	151	53	751	6	100
11/09/2015 12:50	117	129	116	159	133	46	700	6	100
11/09/2015 12:55	129	131	140	187	149	40	776	6	100
11/09/2015 13:00	111	136	120	164	130	44	705	6	100
11/09/2015 13:05	123	133	121	169	149	43	738	6	100
11/09/2015 13:10	131	121	121	181	151	34	739	6	100
11/09/2015 13:15	146	120	136	170	168	40	780	6	100
11/09/2015 13:20	133	119	126	151	134	47	710	6	100
11/09/2015 13:25	121	123	121	164	159	36	724	6	100
11/09/2015 13:30	126	124	126	157	131	40	704	6	100
11/09/2015 13:35	154	143	147	170	160	50	824	6	100
11/09/2015 13:40	123	120	124	160	150	40	717	6	100
11/09/2015 13:45	119	123	139	189	154	43	767	6	100
11/09/2015 13:50	120	141	114	195	154	56	780	6	100
11/09/2015 13:55	131	130	140	162	137	47	747	6	100
11/09/2015 14:00	140	123	134	154	153	36	740	6	100
11/09/2015 14:05	151	131	129	187	159	34	791	6	100
11/09/2015 14:10	136	136	136	179	166	34	787	6	100
11/09/2015 14:15	121	144	128	168	145	36	742	6	100
11/09/2015 14:20	151	124	129	170	136	54	764	6	100
11/09/2015 14:25	133	113	131	181	140	49	747	6	100
11/09/2015 14:30	117	107	129	161	137	56	707	6	100
11/09/2015 14:35	110	123	121	161	141	53	709	6	100
11/09/2015 14:40	112	128	143	184	149	49	765	6	100
11/09/2015 14:45	126	140	134	176	146	46	768	6	100
