5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/02/2015 00:00	37	38	33	19	10	137	5	100
11/02/2015 00:05	34	41	29	24	9	137	5	100
11/02/2015 00:10	34	39	28	19	13	133	5	100
11/02/2015 00:15	27	33	31	24	12	127	5	100
11/02/2015 00:20	28	33	25	23	13	122	5	100
11/02/2015 00:25	26	33	33	22	4	118	5	100
11/02/2015 00:30	18	37	32	14	7	108	5	100
11/02/2015 00:35	29	34	24	18	10	115	5	100
11/02/2015 00:40	22	27	18	21	11	99	5	100
11/02/2015 00:45	23	34	22	23	8	110	5	100
11/02/2015 00:50	23	32	18	21	7	101	5	100
11/02/2015 00:55	19	27	22	19	15	102	5	100
11/02/2015 01:00	15	20	10	17	2	64	5	100
11/02/2015 01:05	22	32	22	8	4	88	5	100
11/02/2015 01:10	13	23	13	9	3	61	5	100
11/02/2015 01:15	18	24	13	11	4	70	5	100
11/02/2015 01:20	5	22	12	11	6	56	5	100
11/02/2015 01:25	11	20	11	13	7	62	5	100
11/02/2015 01:30	13	21	20	19	8	81	5	100
11/02/2015 01:35	18	21	13	10	7	69	5	100
11/02/2015 01:40	8	13	7	10	8	46	5	100
11/02/2015 01:45	14	15	16	10	5	60	5	100
11/02/2015 01:50	10	13	11	14	6	54	5	100
11/02/2015 01:55	11	11	8	16	2	48	5	100
11/02/2015 02:00	11	14	15	7	5	52	5	100
11/02/2015 02:05	6	14	8	12	5	45	5	100
11/02/2015 02:10	8	11	11	9	2	41	5	100
11/02/2015 02:15	9	17	9	16	4	55	5	100
11/02/2015 02:20	7	18	11	10	7	53	5	100
11/02/2015 02:25	7	12	10	15	5	49	5	100
11/02/2015 02:30	14	14	12	11	2	53	5	100
11/02/2015 02:35	6	17	12	8	2	45	5	100
11/02/2015 02:40	8	16	13	6	2	45	5	100
11/02/2015 02:45	6	17	16	12	7	58	5	100
11/02/2015 02:50	9	10	14	14	4	51	5	100
11/02/2015 02:55	10	17	22	18	7	74	5	100
11/02/2015 03:00	8	13	18	15	6	60	5	100
11/02/2015 03:05	12	8	15	18	7	60	5	100
11/02/2015 03:10	5	17	9	12	6	49	5	100
11/02/2015 03:15	7	14	13	12	4	50	5	100
11/02/2015 03:20	11	14	17	11	3	56	5	100
11/02/2015 03:25	9	17	16	8	6	56	5	100
11/02/2015 03:30	8	19	11	15	3	56	5	100
11/02/2015 03:35	16	15	12	12	12	67	5	100
11/02/2015 03:40	14	21	18	16	6	75	5	100
11/02/2015 03:45	9	19	16	16	10	70	5	100
11/02/2015 03:50	9	18	19	18	15	79	5	100
11/02/2015 03:55	12	20	14	17	12	75	5	100
11/02/2015 04:00	14	21	23	9	11	78	5	100
11/02/2015 04:05	13	21	19	14	8	75	5	100
11/02/2015 04:10	16	37	17	16	7	93	5	100
11/02/2015 04:15	17	27	24	20	7	95	5	100
11/02/2015 04:20	19	43	20	20	12	114	5	100
11/02/2015 04:25	20	27	23	18	8	96	5	100
11/02/2015 04:30	37	46	32	34	15	164	5	100
11/02/2015 04:35	31	43	29	23	15	141	5	100
11/02/2015 04:40	36	42	32	37	16	163	5	100
11/02/2015 04:45	42	45	36	38	26	187	5	100
11/02/2015 04:50	48	54	36	32	22	192	5	100
11/02/2015 04:55	39	51	36	35	22	183	5	100
11/02/2015 05:00	47	50	49	35	29	210	5	100
11/02/2015 05:05	60	67	44	34	26	231	5	100
11/02/2015 05:10	69	64	51	45	21	250	5	100
11/02/2015 05:15	73	85	53	44	30	285	5	100
11/02/2015 05:20	91	85	65	59	31	331	5	100
11/02/2015 05:25	106	101	71	40	38	356	5	100
11/02/2015 05:30	114	109	79	63	30	395	5	80
11/02/2015 05:35	117	111	88	67	70	453	5	100
11/02/2015 05:40	139	108	97	86	52	482	5	100
11/02/2015 05:45	140	127	93	83	61	504	5	100
11/02/2015 05:50	147	135	95	86	69	532	5	100
11/02/2015 05:55	158	132	103	87	62	542	5	100
11/02/2015 06:00	184	153	115	82	49	583	5	100
11/02/2015 06:05	198	167	122	87	53	627	5	100
11/02/2015 06:10	193	156	115	102	56	622	5	100
11/02/2015 06:15	212	170	133	102	71	688	5	100
11/02/2015 06:20	205	178	128	110	62	683	5	100
11/02/2015 06:25	195	162	122	108	74	661	5	100
11/02/2015 06:30	183	163	112	92	65	615	5	100
11/02/2015 06:35	184	167	121	117	70	659	5	100
11/02/2015 06:40	183	148	140	111	81	663	5	100
11/02/2015 06:45	172	143	128	108	93	644	5	100
11/02/2015 06:50	175	138	123	108	82	626	5	100
11/02/2015 06:55	181	157	137	122	69	666	5	100
11/02/2015 07:00	138	116	116	98	47	515	5	100
11/02/2015 07:05	170	145	112	115	81	623	5	100
11/02/2015 07:10	181	164	142	124	57	668	5	100
11/02/2015 07:15	208	162	138	129	79	716	5	100
11/02/2015 07:20	150	129	110	99	71	559	5	100
11/02/2015 07:25	182	163	141	134	85	705	5	100
11/02/2015 07:30	207	172	144	137	79	739	5	100
11/02/2015 07:35	199	169	132	124	72	696	5	100
11/02/2015 07:40	208	173	138	140	84	743	5	100
