5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/02/2015 00:00	30	40	41	44	37	4	196	6	0
11/02/2015 00:05	38	43	39	50	36	8	214	6	0
11/02/2015 00:10	29	34	36	45	29	8	181	6	0
11/02/2015 00:15	28	38	32	46	29	4	177	6	0
11/02/2015 00:20	22	36	32	41	27	7	165	6	0
11/02/2015 00:25	33	37	31	46	31	3	181	6	0
11/02/2015 00:30	34	39	34	36	24	4	171	6	0
11/02/2015 00:35	29	33	38	39	24	3	166	6	0
11/02/2015 00:40	24	28	23	38	21	6	140	6	0
11/02/2015 00:45	27	26	21	27	16	3	120	6	0
11/02/2015 00:50	21	25	23	30	13	6	118	6	0
11/02/2015 00:55	14	28	27	33	16	3	121	6	0
11/02/2015 01:00	23	26	23	24	21	17	134	6	0
11/02/2015 01:05	22	26	23	23	21	16	131	6	0
11/02/2015 01:10	10	40	20	30	10	0	110	6	0
11/02/2015 01:15	19	19	25	23	14	3	103	6	0
11/02/2015 01:20	13	16	21	20	19	3	92	6	0
11/02/2015 01:25	18	18	16	23	12	3	90	6	0
11/02/2015 01:30	13	21	13	23	13	3	86	6	0
11/02/2015 01:35	14	19	14	20	10	1	78	6	0
11/02/2015 01:40	11	16	15	30	10	1	83	6	0
11/02/2015 01:45	13	16	21	31	13	5	99	6	0
11/02/2015 01:50	16	17	13	21	11	3	81	6	0
11/02/2015 01:55	11	14	11	14	13	5	68	6	0
11/02/2015 02:00	10	15	16	16	11	1	69	6	0
11/02/2015 02:05	11	11	13	21	7	4	67	6	0
11/02/2015 02:10	13	16	14	18	13	3	77	6	0
11/02/2015 02:15	6	15	13	21	10	5	70	6	0
11/02/2015 02:20	4	13	11	15	10	3	56	6	0
11/02/2015 02:25	10	14	10	14	8	1	57	6	0
11/02/2015 02:30	10	10	13	16	9	1	59	6	0
11/02/2015 02:35	7	14	13	16	13	4	67	6	0
11/02/2015 02:40	9	16	23	21	11	4	84	6	0
11/02/2015 02:45	10	14	14	17	13	3	71	6	0
11/02/2015 02:50	13	21	20	19	10	5	88	6	0
11/02/2015 02:55	11	14	14	15	8	3	65	6	0
11/02/2015 03:00	6	14	16	18	11	1	66	6	0
11/02/2015 03:05	13	14	14	14	11	4	70	6	0
11/02/2015 03:10	15	14	14	15	7	3	68	6	0
11/02/2015 03:15	14	20	13	17	10	1	75	6	0
11/02/2015 03:20	13	16	17	13	9	1	69	6	0
11/02/2015 03:25	16	23	18	19	8	3	87	6	0
11/02/2015 03:30	19	19	16	23	11	4	92	6	0
11/02/2015 03:35	20	24	16	18	11	1	90	6	0
11/02/2015 03:40	23	31	25	23	9	3	114	6	0
11/02/2015 03:45	29	34	19	24	13	4	123	6	0
11/02/2015 03:50	30	37	23	26	18	4	138	6	0
11/02/2015 03:55	23	29	20	26	13	1	112	6	0
11/02/2015 04:00	27	31	20	24	14	0	116	6	0
11/02/2015 04:05	27	33	33	28	11	1	133	6	0
11/02/2015 04:10	37	44	26	20	13	1	141	6	0
11/02/2015 04:15	35	41	30	36	13	1	156	6	0
11/02/2015 04:20	39	57	36	30	15	1	178	6	0
