5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/02/2015 00:00	43	34	43	25	10	155	5	80
11/02/2015 00:05	40	40	31	36	9	156	5	80
11/02/2015 00:10	35	36	36	29	10	146	5	80
11/02/2015 00:15	22	29	27	21	6	105	5	80
11/02/2015 00:20	34	29	27	22	5	117	5	80
11/02/2015 00:25	30	31	31	24	6	122	5	80
11/02/2015 00:30	30	28	35	19	6	118	5	80
11/02/2015 00:35	23	23	25	15	2	88	5	80
11/02/2015 00:40	30	32	29	20	11	122	5	80
11/02/2015 00:45	21	28	23	21	5	98	5	80
11/02/2015 00:50	23	30	20	22	7	102	5	80
11/02/2015 00:55	25	26	19	18	4	92	5	80
11/02/2015 01:00	15	21	19	12	2	69	5	80
11/02/2015 01:05	23	30	19	22	7	101	5	80
11/02/2015 01:10	20	25	17	19	2	83	5	80
11/02/2015 01:15	15	27	20	16	7	85	5	80
11/02/2015 01:20	8	25	24	8	11	76	5	80
11/02/2015 01:25	14	21	20	10	3	68	5	80
11/02/2015 01:30	14	20	15	7	5	61	5	80
11/02/2015 01:35	18	20	22	7	4	71	5	80
11/02/2015 01:40	13	25	14	18	3	73	5	80
11/02/2015 01:45	14	23	11	13	4	65	5	80
11/02/2015 01:50	11	24	14	14	5	68	5	80
11/02/2015 01:55	11	21	11	9	4	56	5	80
11/02/2015 02:00	8	24	21	13	5	71	5	80
11/02/2015 02:05	5	24	11	13	6	59	5	80
11/02/2015 02:10	8	19	19	10	0	56	5	80
11/02/2015 02:15	8	23	15	12	5	63	5	80
11/02/2015 02:20	14	27	20	18	6	85	5	80
11/02/2015 02:25	9	24	8	13	5	59	5	80
11/02/2015 02:30	13	23	15	11	5	67	5	80
11/02/2015 02:35	10	19	15	10	1	55	5	80
11/02/2015 02:40	9	20	15	10	2	56	5	80
11/02/2015 02:45	5	18	13	9	0	45	5	80
11/02/2015 02:50	8	22	13	11	4	58	5	80
11/02/2015 02:55	9	22	17	11	4	63	5	80
11/02/2015 03:00	10	20	11	11	1	53	5	80
11/02/2015 03:05	7	18	11	5	3	44	5	80
11/02/2015 03:10	5	27	9	16	8	65	5	80
11/02/2015 03:15	7	26	10	15	6	64	5	80
11/02/2015 03:20	8	27	16	17	6	74	5	80
11/02/2015 03:25	8	25	14	17	4	68	5	80
11/02/2015 03:30	17	23	11	11	6	68	5	80
11/02/2015 03:35	11	21	17	11	3	63	5	80
11/02/2015 03:40	7	24	14	12	6	63	5	80
