5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/02/2015 00:00	20	23	13	7	24	25	112	6	100
11/02/2015 00:05	13	28	14	7	22	32	116	6	100
11/02/2015 00:10	14	17	10	9	22	10	82	6	100
11/02/2015 00:15	16	26	11	4	21	7	85	6	100
11/02/2015 00:20	7	17	8	3	11	9	55	6	100
11/02/2015 00:25	12	21	5	8	11	9	66	6	100
11/02/2015 00:30	10	27	10	5	12	10	74	6	100
11/02/2015 00:35	14	14	11	11	10	3	63	6	100
11/02/2015 00:40	10	12	11	7	10	8	58	6	100
11/02/2015 00:45	11	17	11	11	11	9	70	6	100
11/02/2015 00:50	7	22	6	8	9	5	57	6	100
11/02/2015 00:55	4	19	6	9	6	7	51	6	100
11/02/2015 01:00	4	10	9	6	12	11	52	6	100
11/02/2015 01:05	9	14	4	5	9	5	46	6	100
11/02/2015 01:10	5	6	3	6	9	4	33	6	100
11/02/2015 01:15	2	11	4	6	14	12	49	6	100
11/02/2015 01:20	4	18	9	6	7	4	48	6	100
11/02/2015 01:25	6	10	3	1	10	3	33	6	100
11/02/2015 01:30	3	13	4	8	13	7	48	6	100
11/02/2015 01:35	3	14	6	6	4	4	37	6	100
11/02/2015 01:40	6	6	8	5	9	3	37	6	100
11/02/2015 01:45	7	13	6	3	10	6	45	6	100
11/02/2015 01:50	8	13	4	3	8	2	38	6	100
11/02/2015 01:55	4	13	4	4	8	4	37	6	100
11/02/2015 02:00	9	13	6	6	5	9	48	6	100
11/02/2015 02:05	6	9	6	4	5	11	41	6	100
11/02/2015 02:10	1	8	7	2	7	14	39	6	100
11/02/2015 02:15	8	9	11	11	12	6	57	6	100
11/02/2015 02:20	5	10	7	4	8	6	40	6	100
11/02/2015 02:25	7	17	8	3	11	3	49	6	100
11/02/2015 02:30	4	9	6	2	4	4	29	6	100
11/02/2015 02:35	4	11	11	7	6	7	46	6	100
11/02/2015 02:40	5	14	7	7	14	6	53	6	100
11/02/2015 02:45	9	14	8	5	8	8	52	6	100
11/02/2015 02:50	8	10	6	8	10	7	49	6	100
11/02/2015 02:55	6	20	10	6	7	6	55	6	100
11/02/2015 03:00	8	14	10	11	11	5	59	6	100
11/02/2015 03:05	4	10	6	4	10	8	42	6	100
11/02/2015 03:10	11	18	12	10	11	4	66	6	100
11/02/2015 03:15	5	13	6	8	10	7	49	6	100
11/02/2015 03:20	5	14	4	8	9	6	46	6	100
11/02/2015 03:25	14	24	14	6	7	2	67	6	100
11/02/2015 03:30	18	20	9	11	13	2	73	6	100
11/02/2015 03:35	19	21	12	12	12	8	84	6	100
11/02/2015 03:40	21	29	20	11	13	5	99	6	100
