5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/02/2015 00:00	20	26	26	20	92	4	100
11/02/2015 00:05	14	35	43	36	128	4	100
11/02/2015 00:10	16	18	26	24	84	4	100
11/02/2015 00:15	17	26	24	20	87	4	100
11/02/2015 00:20	15	20	21	10	66	4	100
11/02/2015 00:25	13	17	10	14	54	4	100
11/02/2015 00:30	14	19	21	14	68	4	100
11/02/2015 00:35	9	21	21	8	59	4	100
11/02/2015 00:40	10	15	17	12	54	4	100
11/02/2015 00:45	13	13	18	16	60	4	100
11/02/2015 00:50	11	16	20	10	57	4	100
11/02/2015 00:55	8	15	9	12	44	4	100
11/02/2015 01:00	3	18	14	13	48	4	100
11/02/2015 01:05	6	18	11	14	49	4	100
11/02/2015 01:10	5	6	6	7	24	4	100
11/02/2015 01:15	3	13	16	11	43	4	100
11/02/2015 01:20	6	14	15	10	45	4	100
11/02/2015 01:25	8	9	6	8	31	4	100
11/02/2015 01:30	7	15	15	7	44	4	100
11/02/2015 01:35	6	20	9	12	47	4	100
11/02/2015 01:40	4	9	6	10	29	4	100
11/02/2015 01:45	5	11	11	16	43	4	100
11/02/2015 01:50	9	13	12	5	39	4	100
11/02/2015 01:55	7	13	5	10	35	4	100
11/02/2015 02:00	6	9	10	7	32	4	100
11/02/2015 02:05	6	12	19	12	49	4	100
11/02/2015 02:10	3	9	10	11	33	4	100
11/02/2015 02:15	5	16	21	9	51	4	100
11/02/2015 02:20	7	15	13	10	45	4	100
11/02/2015 02:25	7	14	11	10	42	4	100
11/02/2015 02:30	7	12	13	7	39	4	100
11/02/2015 02:35	5	11	11	14	41	4	100
11/02/2015 02:40	6	17	12	13	48	4	100
11/02/2015 02:45	9	17	14	8	48	4	100
11/02/2015 02:50	9	13	15	10	47	4	100
11/02/2015 02:55	4	14	18	13	49	4	100
11/02/2015 03:00	9	18	16	15	58	4	100
11/02/2015 03:05	6	12	17	13	48	4	100
11/02/2015 03:10	13	20	23	10	66	4	100
11/02/2015 03:15	7	20	14	15	56	4	100
11/02/2015 03:20	12	25	11	12	60	4	100
11/02/2015 03:25	17	23	17	12	69	4	100
11/02/2015 03:30	20	27	22	10	79	4	100
11/02/2015 03:35	19	26	17	16	78	4	100
11/02/2015 03:40	19	32	27	11	89	4	100
11/02/2015 03:45	24	19	21	21	85	4	100
11/02/2015 03:50	23	31	31	19	104	4	100
11/02/2015 03:55	22	27	22	10	81	4	100
