5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 00:00	49	54	55	38	48	244	5	100
11/09/2015 00:05	59	48	43	56	57	263	5	100
11/09/2015 00:10	47	45	47	42	43	224	5	100
11/09/2015 00:15	39	51	41	37	47	215	5	100
11/09/2015 00:20	40	35	51	37	49	212	5	100
11/09/2015 00:25	31	49	39	36	53	208	5	100
11/09/2015 00:30	50	49	40	39	33	211	5	100
11/09/2015 00:35	49	31	39	36	36	191	5	100
11/09/2015 00:40	29	23	34	23	40	149	5	100
11/09/2015 00:45	33	30	41	17	30	151	5	100
11/09/2015 00:50	21	31	29	21	35	137	5	100
11/09/2015 00:55	19	27	26	11	30	113	5	100
11/09/2015 01:00	22	24	21	20	13	100	5	0
11/09/2015 01:05	20	22	20	18	12	92	5	0
11/09/2015 01:10	19	21	19	17	11	87	5	0
11/09/2015 01:15	16	21	20	29	24	110	5	100
11/09/2015 01:20	29	24	23	19	17	112	5	100
11/09/2015 01:25	16	31	19	24	34	124	5	100
11/09/2015 01:30	11	17	21	14	23	86	5	100
11/09/2015 01:35	10	20	13	17	20	80	5	100
11/09/2015 01:40	10	13	27	13	16	79	5	100
11/09/2015 01:45	13	10	21	19	24	87	5	100
11/09/2015 01:50	6	18	16	15	16	71	5	100
11/09/2015 01:55	6	17	20	10	20	73	5	100
11/09/2015 02:00	9	11	17	17	11	65	5	100
11/09/2015 02:05	4	10	16	16	20	66	5	100
11/09/2015 02:10	7	10	10	10	16	53	5	100
11/09/2015 02:15	10	14	20	11	17	72	5	100
11/09/2015 02:20	6	7	21	7	14	55	5	100
11/09/2015 02:25	3	6	9	13	13	44	5	100
11/09/2015 02:30	9	16	11	4	17	57	5	100
11/09/2015 02:35	4	16	14	10	13	57	5	100
11/09/2015 02:40	14	14	20	19	14	81	5	100
11/09/2015 02:45	10	10	9	3	11	43	5	100
11/09/2015 02:50	7	11	13	9	14	54	5	100
11/09/2015 02:55	7	11	14	19	16	67	5	100
11/09/2015 03:00	4	10	9	6	14	43	5	100
11/09/2015 03:05	7	16	17	13	6	59	5	100
11/09/2015 03:10	6	6	10	10	13	45	5	100
11/09/2015 03:15	5	6	11	6	14	42	5	100
11/09/2015 03:20	7	7	7	13	13	47	5	100
11/09/2015 03:25	11	11	16	11	11	60	5	100
11/09/2015 03:30	13	11	14	16	11	65	5	100
11/09/2015 03:35	6	16	16	17	10	65	5	100
11/09/2015 03:40	9	17	14	17	17	74	5	100
