5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/02/2015 00:00	26	21	16	13	22	18	116	6	100
11/02/2015 00:05	20	27	16	12	28	27	130	6	100
11/02/2015 00:10	20	18	13	14	19	11	95	6	100
11/02/2015 00:15	16	23	15	13	15	6	88	6	100
11/02/2015 00:20	11	17	9	8	7	8	60	6	100
11/02/2015 00:25	16	21	7	6	14	8	72	6	100
11/02/2015 00:30	17	24	11	7	13	10	82	6	100
11/02/2015 00:35	20	15	15	9	11	3	73	6	100
11/02/2015 00:40	14	13	9	14	9	5	64	6	100
11/02/2015 00:45	11	16	16	11	11	9	74	6	100
11/02/2015 00:50	14	17	6	11	11	3	62	6	100
11/02/2015 00:55	6	13	7	10	5	5	46	6	100
11/02/2015 01:00	6	10	10	9	14	11	60	6	100
11/02/2015 01:05	11	12	5	6	7	6	47	6	100
11/02/2015 01:10	6	5	5	4	8	6	34	6	100
11/02/2015 01:15	9	12	5	7	16	10	59	6	100
11/02/2015 01:20	6	16	13	7	8	2	52	6	100
11/02/2015 01:25	11	12	6	0	11	2	42	6	100
11/02/2015 01:30	6	15	10	10	8	6	55	6	100
11/02/2015 01:35	7	14	6	6	5	5	43	6	100
11/02/2015 01:40	7	6	5	10	9	4	41	6	100
11/02/2015 01:45	9	13	7	6	7	6	48	6	100
11/02/2015 01:50	10	13	5	6	5	2	41	6	100
11/02/2015 01:55	9	13	7	5	7	6	47	6	100
11/02/2015 02:00	13	12	6	7	7	6	51	6	100
11/02/2015 02:05	9	7	6	8	5	11	46	6	100
11/02/2015 02:10	4	10	8	9	7	11	49	6	100
11/02/2015 02:15	7	10	13	11	10	8	59	6	100
11/02/2015 02:20	6	15	10	10	3	4	48	6	100
11/02/2015 02:25	8	18	9	6	7	3	51	6	100
11/02/2015 02:30	7	10	7	4	2	6	36	6	100
11/02/2015 02:35	5	11	9	10	10	7	52	6	100
11/02/2015 02:40	10	11	9	14	11	7	62	6	100
11/02/2015 02:45	11	17	7	6	6	7	54	6	100
11/02/2015 02:50	11	10	6	12	10	7	56	6	100
11/02/2015 02:55	14	16	12	7	8	6	63	6	100
11/02/2015 03:00	13	18	12	8	11	6	68	6	100
11/02/2015 03:05	6	8	8	9	11	7	49	6	100
11/02/2015 03:10	11	15	12	9	12	4	63	6	100
11/02/2015 03:15	16	20	14	8	8	9	75	6	100
11/02/2015 03:20	12	16	11	9	10	5	63	6	100
11/02/2015 03:25	20	24	13	9	5	0	71	6	100
11/02/2015 03:30	21	21	18	15	7	1	83	6	100
11/02/2015 03:35	21	25	19	15	5	9	94	6	100
11/02/2015 03:40	28	33	20	14	9	4	108	6	100
11/02/2015 03:45	17	19	18	19	9	6	88	6	100
11/02/2015 03:50	26	23	24	21	10	4	108	6	100
11/02/2015 03:55	24	30	16	14	6	6	96	6	100
11/02/2015 04:00	34	39	19	13	10	11	126	6	100
11/02/2015 04:05	27	37	23	20	9	8	124	6	100
11/02/2015 04:10	35	40	34	20	16	9	154	6	100
11/02/2015 04:15	41	40	29	21	17	10	158	6	100
11/02/2015 04:20	52	49	42	16	20	16	195	6	100
11/02/2015 04:25	67	51	51	43	22	13	247	6	100
11/02/2015 04:30	54	51	36	39	26	14	220	6	100
11/02/2015 04:35	76	60	48	59	33	17	293	6	100
11/02/2015 04:40	67	74	59	48	26	25	299	6	100
11/02/2015 04:45	74	74	67	49	45	10	319	6	100
11/02/2015 04:50	92	96	66	53	31	21	359	6	100
11/02/2015 04:55	104	82	60	61	40	19	366	6	100
11/02/2015 05:00	95	85	66	52	34	17	349	6	100
11/02/2015 05:05	132	107	93	62	50	23	467	6	100
11/02/2015 05:10	148	121	105	81	41	35	531	6	100
11/02/2015 05:15	155	123	108	92	56	39	573	6	100
11/02/2015 05:20	173	133	130	99	60	58	653	6	100
11/02/2015 05:25	182	147	123	116	75	51	694	6	100
11/02/2015 05:30	174	154	122	105	73	46	674	6	100
11/02/2015 05:35	145	123	125	111	99	74	677	6	100
11/02/2015 05:40	119	121	105	106	109	71	631	6	100
11/02/2015 05:45	130	127	115	103	89	76	640	6	100
11/02/2015 05:50	131	122	110	106	81	69	619	6	100
11/02/2015 05:55	129	121	117	76	67	52	562	6	100
11/02/2015 06:00	116	119	89	79	73	47	523	6	100
11/02/2015 06:05	115	107	96	75	72	45	510	6	100
11/02/2015 06:10	131	123	106	78	58	50	546	6	100
11/02/2015 06:15	135	122	114	96	61	57	585	6	100
11/02/2015 06:20	120	141	110	92	71	50	584	6	100
11/02/2015 06:25	113	105	89	85	65	40	497	6	100
11/02/2015 06:30	126	115	103	78	58	39	519	6	100
11/02/2015 06:35	131	114	102	90	66	50	553	6	100
11/02/2015 06:40	138	128	119	97	86	53	621	6	100
11/02/2015 06:45	113	114	106	97	76	60	566	6	100
11/02/2015 06:50	126	112	115	100	77	54	584	6	100
11/02/2015 06:55	143	120	115	101	80	47	606	6	100
11/02/2015 07:00	127	112	105	108	79	56	587	6	100
11/02/2015 07:05	123	112	117	96	71	45	564	6	100
11/02/2015 07:10	135	124	100	84	81	53	577	6	100
11/02/2015 07:15	124	103	99	93	73	56	548	6	100
11/02/2015 07:20	111	99	78	86	79	61	514	6	100
11/02/2015 07:25	102	88	60	61	75	78	464	6	100
11/02/2015 07:30	114	101	77	72	77	57	498	6	100
11/02/2015 07:35	92	86	65	63	65	73	444	6	100
11/02/2015 07:40	106	87	69	78	74	71	485	6	100
11/02/2015 07:45	108	91	74	69	87	72	501	6	100
11/02/2015 07:50	118	103	74	71	79	67	512	6	100
11/02/2015 07:55	91	79	64	70	90	78	472	6	100
11/02/2015 08:00	106	91	75	70	79	78	499	6	100
11/02/2015 08:05	99	87	71	80	72	54	463	6	100
11/02/2015 08:10	95	78	67	69	70	60	439	6	100
11/02/2015 08:15	107	112	95	95	74	52	535	6	100
11/02/2015 08:20	107	98	98	95	74	49	521	6	100
11/02/2015 08:25	110	107	89	87	64	51	508	6	100
11/02/2015 08:30	116	96	83	85	74	59	513	6	100
11/02/2015 08:35	109	104	84	79	68	55	499	6	100
11/02/2015 08:40	112	101	88	81	75	57	514	6	100
11/02/2015 08:45	113	109	86	90	66	56	520	6	100
11/02/2015 08:50	108	94	92	75	63	54	486	6	100
11/02/2015 08:55	76	88	70	80	54	42	410	6	100
11/02/2015 09:00	82	94	72	66	62	50	426	6	100
11/02/2015 09:05	96	101	96	84	70	43	490	6	100
11/02/2015 09:10	57	73	73	73	57	53	386	6	100
11/02/2015 09:15	83	94	79	81	61	51	449	6	100
11/02/2015 09:20	92	100	92	83	71	61	499	6	100
11/02/2015 09:25	115	108	106	93	72	51	545	6	100
11/02/2015 09:30	65	70	67	82	78	57	419	6	100
11/02/2015 09:35	101	105	96	83	70	51	506	6	100
11/02/2015 09:40	100	112	85	88	78	56	519	6	100
11/02/2015 09:45	118	118	100	96	80	60	572	6	100
11/02/2015 09:50	95	103	99	84	67	52	500	6	100
11/02/2015 09:55	102	100	82	84	78	62	508	6	100
11/02/2015 10:00	112	109	84	76	70	52	503	6	100
11/02/2015 10:05	91	101	92	88	81	49	502	6	100
11/02/2015 10:10	85	96	87	83	71	68	490	6	100
11/02/2015 10:15	101	95	106	85	81	73	541	6	100
11/02/2015 10:20	58	75	74	75	76	58	416	6	100
11/02/2015 10:25	97	102	96	87	75	50	507	6	100
11/02/2015 10:30	106	100	89	86	78	66	525	6	100
11/02/2015 10:35	103	96	75	91	96	70	531	6	100
11/02/2015 10:40	100	101	94	93	73	58	519	6	100
11/02/2015 10:45	45	65	78	66	53	46	353	6	100
11/02/2015 10:50	82	71	69	82	58	54	416	6	100
11/02/2015 10:55	96	94	70	84	63	41	448	6	100
11/02/2015 11:00	101	94	78	84	64	53	474	6	100
11/02/2015 11:05	99	94	81	81	72	46	473	6	100
11/02/2015 11:10	91	93	79	93	75	59	490	6	100
11/02/2015 11:15	69	87	82	82	85	47	452	6	100
11/02/2015 11:20	92	95	86	85	83	55	496	6	100
11/02/2015 11:25	85	94	79	85	57	49	449	6	100
11/02/2015 11:30	96	89	76	97	87	57	502	6	100
11/02/2015 11:35	86	94	83	85	72	59	479	6	100
11/02/2015 11:40	70	79	82	65	78	45	419	6	100
11/02/2015 11:45	85	96	85	75	69	58	468	6	100
11/02/2015 11:50	82	86	75	77	66	57	443	6	100
11/02/2015 11:55	94	91	84	76	82	69	496	6	100
11/02/2015 12:00	75	80	84	83	72	61	455	6	100
11/02/2015 12:05	73	99	76	74	76	60	458	6	100
11/02/2015 12:10	89	88	90	87	66	46	466	6	100
11/02/2015 12:15	82	92	83	82	72	63	474	6	100
11/02/2015 12:20	111	105	102	92	72	68	550	6	100
11/02/2015 12:25	85	90	82	77	60	55	449	6	100
11/02/2015 12:30	90	104	83	75	85	55	492	6	100
11/02/2015 12:35	94	86	89	90	79	54	492	6	100
11/02/2015 12:40	93	83	83	81	84	60	484	6	100
11/02/2015 12:45	90	91	94	76	71	60	482	6	100
