5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/02/2015 00:00	72.7	69.2	63.6	68.4	3	0
11/02/2015 00:05	72.2	68.7	63.2	68	3	0
11/02/2015 00:10	72.5	69	63.5	68.3	3	0
11/02/2015 00:15	71.8	68.3	62.8	67.5	3	0
11/02/2015 00:20	71.8	68.4	62.9	67.6	3	0
11/02/2015 00:25	71.5	68.1	62.6	67.4	3	0
11/02/2015 00:30	72.2	68.7	63.2	67.8	3	0
11/02/2015 00:35	72.4	68.9	63.3	68.1	3	0
11/02/2015 00:40	72	68.5	63	67.8	3	0
11/02/2015 00:45	68.9	65.6	60.2	64.8	3	0
11/02/2015 00:50	69.4	66.1	60.7	65.2	3	0
11/02/2015 00:55	71.4	68	63	67.3	3	0
11/02/2015 01:00	72.8	69.2	63.7	68.4	3	0
11/02/2015 01:05	72.6	69.2	63.7	68.2	3	0
11/02/2015 01:10	72.7	69.2	63.6	68.2	3	0
11/02/2015 01:15	72.7	69.2	63.6	68.3	3	0
11/02/2015 01:20	72.5	69	63.5	68.1	3	0
11/02/2015 01:25	72.6	69.1	63.5	68.1	3	0
11/02/2015 01:30	72.7	69.2	63.6	68.2	3	0
11/02/2015 01:35	72.8	69.2	63.7	68.2	3	0
11/02/2015 01:40	72.8	69.3	63.7	68.3	3	0
11/02/2015 01:45	71.2	67.8	62.8	67.2	3	0
11/02/2015 01:50	72.6	69.1	63.5	68.1	3	0
11/02/2015 01:55	72.6	69.1	63.5	68.1	3	0
11/02/2015 02:00	71.8	68.6	63.5	67.6	3	0
11/02/2015 02:05	72.6	69.1	63.5	67.7	3	0
11/02/2015 02:10	72.8	69.2	63.7	68.2	3	0
11/02/2015 02:15	72.7	69.2	63.6	68.3	3	0
11/02/2015 02:20	72.7	69.2	63.6	68.1	3	0
11/02/2015 02:25	72.7	69.2	63.6	68.1	3	0
11/02/2015 02:30	72.6	69.1	63.5	68.1	3	0
11/02/2015 02:35	72.4	69.1	63.5	68	3	0
11/02/2015 02:40	72.8	69.2	63.7	68.2	3	0
11/02/2015 02:45	72.8	69.2	63.7	68.1	3	0
11/02/2015 02:50	72.8	69.2	63.7	68.2	3	0
11/02/2015 02:55	72.6	69.2	63.6	68.1	3	0
11/02/2015 03:00	72.8	69.2	63.7	68.1	3	0
11/02/2015 03:05	72.7	69.2	63.6	68	3	0
11/02/2015 03:10	72.6	69.1	63.5	68	3	0
11/02/2015 03:15	70.5	67.2	62.1	66.3	3	0
11/02/2015 03:20	72.8	69.2	63.7	68	3	0
11/02/2015 03:25	72.7	69.2	63.6	68.2	3	0
11/02/2015 03:30	72.2	68.8	63.6	67.8	3	0
11/02/2015 03:35	72.7	69.2	63.6	68.1	3	0
11/02/2015 03:40	71.2	67.9	62.8	67.1	3	0
11/02/2015 03:45	72.7	69.2	63.6	68	3	0
11/02/2015 03:50	72.7	69.2	63.6	68.2	3	0
11/02/2015 03:55	72.8	69.2	63.7	68.3	3	0
11/02/2015 04:00	72.8	69.3	63.7	68.3	3	0
11/02/2015 04:05	73.1	69.6	64.1	68.9	3	0
11/02/2015 04:10	72.8	69.2	63.7	68.2	3	0
11/02/2015 04:15	72.8	69.3	63.7	68.4	3	0
11/02/2015 04:20	72.8	69.3	63.7	68.4	3	0
11/02/2015 04:25	72.7	69.3	63.8	68.5	3	0
11/02/2015 04:30	72.8	69.3	63.7	68.5	3	0
11/02/2015 04:35	72.8	69.2	63.7	68.5	3	0
11/02/2015 04:40	73.4	69.8	64.4	69.2	3	0
11/02/2015 04:45	73.7	70.3	64.7	69.6	3	0
11/02/2015 04:50	71.8	68.3	62.8	67.6	3	0
11/02/2015 04:55	73.4	69.9	64.3	69.2	3	0
11/02/2015 05:00	71.5	68	62.5	67.4	3	0
11/02/2015 05:05	72	68.4	62.9	67.8	3	0
11/02/2015 05:10	70.5	67.1	61.6	66.5	3	0
11/02/2015 05:15	72.7	69.3	63.8	68.7	3	0
11/02/2015 05:20	73.4	69.9	64.3	69.4	3	0
11/02/2015 05:25	73.4	69.9	64.3	69.4	3	0
11/02/2015 05:30	72.8	69.2	64	68.8	3	0
11/02/2015 05:35	72.8	69.5	63.9	68.9	3	0
11/02/2015 05:40	72.8	69.4	64.4	69.1	3	0
11/02/2015 05:45	74.1	70.7	65.1	70.2	3	0
11/02/2015 05:50	73	69.6	64.7	69.3	3	0
11/02/2015 05:55	72.5	69	63.5	68.5	3	0
11/02/2015 06:00	71.6	68.1	62.7	67.7	3	0
11/02/2015 06:05	72.4	69	63.8	68.6	3	0
11/02/2015 06:10	73	69.6	64.3	69.2	3	0
11/02/2015 06:15	71.7	68.3	63.3	67.9	3	0
11/02/2015 06:20	70.6	67.3	62.1	66.9	3	0
11/02/2015 06:25	72.5	69.1	64.2	68.8	3	0
11/02/2015 06:30	71.7	68.5	63.5	68.1	3	0
11/02/2015 06:35	72.5	69.2	63.6	68.6	3	0
11/02/2015 06:40	72.3	68.9	63.4	68.5	3	0
11/02/2015 06:45	70.4	67.3	62.2	66.8	3	0
11/02/2015 06:50	70.1	66.9	61.8	66.4	3	0
11/02/2015 06:55	71.4	68.1	63.1	67.8	3	0
11/02/2015 07:00	72.2	68.9	63.3	68.3	3	0
11/02/2015 07:05	72.1	68.6	63.1	68.2	3	0
11/02/2015 07:10	71.7	68.2	62.7	67.8	3	0
11/02/2015 07:15	71	67.6	62.1	67.1	3	0
11/02/2015 07:20	71.1	67.7	62.3	67.3	3	0
11/02/2015 07:25	70.6	67.2	61.8	66.8	3	0
11/02/2015 07:30	70.1	66.7	61.3	66.3	3	0
11/02/2015 07:35	69.9	66.5	61.2	66.2	3	0
11/02/2015 07:40	70.5	67.1	61.7	66.7	3	0
11/02/2015 07:45	70.5	67.1	61.7	66.7	3	0
11/02/2015 07:50	70.6	67.2	61.8	66.8	3	0
11/02/2015 07:55	71.3	67.9	62.4	67.4	3	0
11/02/2015 08:00	70.5	67.2	61.8	66.8	3	0
11/02/2015 08:05	70.2	66.8	61.4	66.4	3	0
11/02/2015 08:10	69.8	66.5	61.1	66	3	0
11/02/2015 08:15	68.8	65.5	60.2	65.2	3	0
11/02/2015 08:20	69.5	66.1	60.8	65.7	3	0
11/02/2015 08:25	69.7	66.3	61	65.9	3	0
11/02/2015 08:30	70.8	67.3	61.9	66.9	3	0
11/02/2015 08:35	70.5	67.1	61.7	66.7	3	0
11/02/2015 08:40	70.2	66.8	61.4	66.4	3	0
11/02/2015 08:45	70.4	67	61.6	66.5	3	0
11/02/2015 08:50	69.7	66.5	61.4	66.1	3	0
11/02/2015 08:55	66.8	63.6	58.3	63.2	3	0
11/02/2015 09:00	67.7	64.4	59.1	63.9	3	0
11/02/2015 09:05	69.3	66.1	61	65.7	3	0
11/02/2015 09:10	67.8	64.7	59.5	64.2	3	0
11/02/2015 09:15	67	63.8	58.5	63.3	3	0
11/02/2015 09:20	68.3	65.2	60	64.7	3	0
11/02/2015 09:25	67.9	64.8	59.6	64.3	3	0
11/02/2015 09:30	70.3	66.9	61.4	66.4	3	0
