5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Lane 5 Speed (mph)	Lane 6 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/02/2015 00:00	76.5	74	72	69.2	64.5	64.5	70.5	6	100
11/02/2015 00:05	77	74	73.1	69.3	65	65	70.1	6	100
11/02/2015 00:10	77	74.3	72.5	68.8	64.8	64.9	70.8	6	100
11/02/2015 00:15	76.5	74.4	70.6	69.2	64.5	64.9	71	6	100
11/02/2015 00:20	76.6	74.5	71.7	69.4	64.7	64.6	71.3	6	100
11/02/2015 00:25	76.7	74.5	71.4	69.2	64.5	64.7	71.2	6	100
11/02/2015 00:30	77.1	74.4	71.9	69.2	64.5	64.8	71.4	6	100
11/02/2015 00:35	77	74.1	69.8	69.3	64.3	64.5	71.5	6	100
11/02/2015 00:40	76.8	74.1	70.1	69.7	64.4	64.6	71.1	6	100
11/02/2015 00:45	76.8	74	71.1	69.7	64.4	64.6	70.6	6	100
11/02/2015 00:50	76.8	74	71.8	69.1	64.4	64.5	71.4	6	100
11/02/2015 00:55	76.5	73.9	71.7	67.9	64.5	64.7	70.6	6	100
11/02/2015 01:00	76.5	73.9	71.9	68.1	64.3	64.2	68.9	6	100
11/02/2015 01:05	76.5	73.9	71.6	68.9	64.4	63.8	70.9	6	100
11/02/2015 01:10	76.5	74.2	71.6	68.5	64.5	64.1	69.5	6	100
11/02/2015 01:15	77.2	74.1	72.3	69.1	64.4	63.8	69.5	6	100
11/02/2015 01:20	77	74.1	72.5	68.9	64.4	64.2	71.5	6	100
11/02/2015 01:25	77.1	74	72.8	68.9	64.4	64.4	71.7	6	100
11/02/2015 01:30	76.5	73.4	72.5	69.4	64.4	64.5	70.6	6	100
11/02/2015 01:35	76.5	73.5	72.3	68.1	64.4	64.6	71	6	100
11/02/2015 01:40	76.4	73.6	71.7	68	64.4	64.6	69.6	6	100
11/02/2015 01:45	76.4	73.7	71.4	68.7	64.5	64.7	70.8	6	100
11/02/2015 01:50	76.6	73.9	72.3	68.8	63.8	64.6	71.9	6	100
11/02/2015 01:55	76.9	74.1	72.3	68.4	64	64.5	71	6	100
11/02/2015 02:00	76.7	73.8	70.1	68.4	64.3	64.4	71	6	100
11/02/2015 02:05	76.8	74	70.7	68.6	64.5	64.3	69.8	6	100
11/02/2015 02:10	76.9	74	71.6	69.4	64.6	64.2	69.5	6	100
11/02/2015 02:15	76.4	74	71.5	69.8	64.4	64.4	70	6	100
11/02/2015 02:20	76.3	74.2	70.7	69.6	64.5	64.4	71.4	6	100
11/02/2015 02:25	76.3	74.1	71.5	69.6	64.6	64.5	71.6	6	100
11/02/2015 02:30	76.5	73.8	70.3	69.7	64.6	64.4	71.1	6	100
11/02/2015 02:35	76.5	74	71.2	67.6	64.5	64.4	69.4	6	100
11/02/2015 02:40	76.6	74.1	71.9	67.6	64.5	64.3	69.9	6	100
11/02/2015 02:45	76.2	73.7	72	68.7	64.7	64.5	71.2	6	100
11/02/2015 02:50	76.3	73.8	72	69.3	64.8	64.5	70.4	6	100
11/02/2015 02:55	76.6	73.9	72	68.8	64.6	64.6	71.5	6	100
11/02/2015 03:00	75.9	73	70.4	66.7	64.7	64.6	70.3	6	100
11/02/2015 03:05	76.2	73.5	71.9	68	64.6	64.6	69.3	6	100
11/02/2015 03:10	76.2	73.7	70.1	66.6	64	64.5	70	6	100
11/02/2015 03:15	76.8	72.6	72.3	67.6	64.3	64.3	71	6	100
11/02/2015 03:20	77	73.3	73.2	67.6	64.2	64.4	71	6	100
11/02/2015 03:25	76.4	72.5	71.2	68.5	64.3	64.4	72.3	6	100
11/02/2015 03:30	76.4	72.7	71.9	69.4	64.6	64.3	72.1	6	100
11/02/2015 03:35	76.2	73.7	72.7	69.8	64.6	64.4	72.1	6	100
11/02/2015 03:40	76.8	74.2	72.5	66.1	64.2	64.4	72.3	6	100
11/02/2015 03:45	76.8	73.9	68.3	65.1	64.5	64.5	69.8	6	100
11/02/2015 03:50	75.9	73.4	73.2	66	64	64.6	71.3	6	100
11/02/2015 03:55	76.8	74	73.4	65	63.6	64.4	72	6	100
11/02/2015 04:00	77.9	74.6	72.6	67.3	64.1	64.5	72.7	6	100
11/02/2015 04:05	76.3	72.8	73.3	69.2	64.4	64.4	71.9	6	100
11/02/2015 04:10	76.8	75.4	68.6	69.5	64.5	64.3	71.7	6	100
11/02/2015 04:15	77.1	74.9	68.2	69.9	64.1	64.4	71.8	6	100
11/02/2015 04:20	79.7	76.6	65.9	68	64.1	64.8	72.2	6	100
11/02/2015 04:25	78.8	75.5	68.5	66.3	64.5	64.6	71.8	6	100
11/02/2015 04:30	77.6	74.2	72.3	67.9	63	64.5	71.7	6	100
11/02/2015 04:35	76.3	75.7	68.5	72.8	60.3	65	71.7	6	100
11/02/2015 04:40	75.2	74.4	73.2	76.1	62.2	65	72.8	6	100
11/02/2015 04:45	75.5	75.2	80.2	77.3	65	65	74.9	6	100
11/02/2015 04:50	74.8	76.5	75.5	77.7	63.7	64.4	74.2	6	100
11/02/2015 04:55	76.1	74.6	77	75.8	63.7	64.6	73.9	6	100
11/02/2015 05:00	77.1	75.5	76	75.9	63.2	64.8	74.4	6	100
11/02/2015 05:05	78.5	75.8	74.9	75.1	65.3	63.8	74.6	6	100
11/02/2015 05:10	76.8	76.1	77.9	74	65.6	64.6	74.8	6	100
11/02/2015 05:15	76.3	74.6	76.2	74.8	65.7	66.2	74	6	100
11/02/2015 05:20	74.7	73.6	71.1	74.5	64.1	68	72.2	6	100
11/02/2015 05:25	74.6	72.9	67.6	71.4	64.1	67.5	70.8	6	100
11/02/2015 05:30	69.1	69.2	63	68.1	63.1	65	66.9	6	100
11/02/2015 05:35	47.7	47.6	48.4	56.5	56.8	58.1	51.7	6	100
11/02/2015 05:40	32.5	32.6	35.3	44.8	50.3	54.6	40.6	6	100
11/02/2015 05:45	31.8	32.6	37.4	41.7	48.3	48.5	38.8	6	100
11/02/2015 05:50	41.5	39	42.4	45.3	50.8	51.6	44.2	6	100
