5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Lane 5 Speed (mph)	Lane 6 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/02/2015 00:00	76.5	74	72	62.8	64.2	64.5	68.9	6	0
11/02/2015 00:05	76.5	73.8	73.1	67.2	64	64.4	70.2	6	0
11/02/2015 00:10	76.5	73.5	71.1	64.6	64.3	64.3	69.3	6	0
11/02/2015 00:15	75.4	73.2	70.8	68.5	63.7	64.4	69.7	6	0
11/02/2015 00:20	76.1	73.1	72.1	68.4	63.6	64.9	69.8	6	0
11/02/2015 00:25	76.5	73.6	72.3	69.3	64.5	64.9	70.3	6	0
11/02/2015 00:30	76.8	73.6	72.1	68.6	63.7	64.7	69.9	6	0
11/02/2015 00:35	76.6	72.9	72.8	69.2	63.7	64.7	70.1	6	0
11/02/2015 00:40	76.4	74	72.9	68.4	64.9	64.4	70.4	6	0
11/02/2015 00:45	76.7	74	71.3	70.5	64.4	64.3	70	6	0
11/02/2015 00:50	76.5	74.1	72	69.5	64	64.4	70.5	6	0
11/02/2015 00:55	76.5	74.2	72.7	68.2	63.5	64.4	70	6	0
11/02/2015 01:00	75.4	72.9	71	68.2	63.6	63.6	69.5	6	0
11/02/2015 01:05	75.4	72.9	71	68.2	63.6	63.6	69.6	6	0
11/02/2015 01:10	76.5	74	72	69.2	64.5	64.5	71.4	6	0
11/02/2015 01:15	76.5	74	72	69.2	64.5	64.5	70	6	0
11/02/2015 01:20	76.4	73.8	71.6	68.3	64.4	64.4	70	6	0
11/02/2015 01:25	76.4	73.8	72.3	67.5	64.6	64.5	70	6	0
11/02/2015 01:30	76.4	73.5	71.1	68.4	65	64.4	70	6	0
11/02/2015 01:35	76.5	73.9	70.5	69.9	64.9	64.6	70.8	6	0
11/02/2015 01:40	76.5	74.1	71.1	70	64.7	64.6	70.1	6	0
11/02/2015 01:45	76.4	73.9	70.6	69.4	64.8	64.5	70.2	6	0
11/02/2015 01:50	76.3	74.1	70.7	67.8	64.8	64.6	70.1	6	0
11/02/2015 01:55	76.3	74	71	68.7	65.1	64.5	70	6	0
11/02/2015 02:00	76.3	74	71.3	69	64.6	64.8	69.9	6	0
11/02/2015 02:05	76.5	74	71.1	67	64.7	64.7	69.6	6	0
11/02/2015 02:10	76.4	73.9	72	67.9	64.7	64.4	69.8	6	0
11/02/2015 02:15	76.5	74.1	71.6	68.6	64.6	64.6	69.8	6	0
11/02/2015 02:20	76.6	74	72.5	68.9	64.6	64.4	70.1	6	0
11/02/2015 02:25	76.5	73.9	71.9	69.3	64.7	64.2	70.4	6	0
11/02/2015 02:30	76.4	74	71.9	69.8	64.8	64.4	71.1	6	0
11/02/2015 02:35	76.3	74	70.3	69.6	64.8	64.3	69.8	6	0
11/02/2015 02:40	76.3	73.9	71.5	69	64.8	64.4	69.7	6	0
11/02/2015 02:45	76.3	73.8	71.6	69.6	64.6	64.5	70.8	6	0
11/02/2015 02:50	76.2	73.6	72.2	66.2	64.4	64.6	70.4	6	0
11/02/2015 02:55	76.2	73.9	71.4	67.3	64.1	64.3	70.2	6	0
11/02/2015 03:00	76.3	74	69.8	68.1	64.3	64.3	69.9	6	0
11/02/2015 03:05	76.4	74	71.4	68.6	64.5	64.6	70.9	6	0
11/02/2015 03:10	76.4	73.8	71.3	68.2	64.5	64.5	70.8	6	0
11/02/2015 03:15	76.2	73.5	71.9	68	64.3	64.4	70.7	6	0
11/02/2015 03:20	76.3	73.4	70.3	68.7	64.5	64.4	70.8	6	0
11/02/2015 03:25	76.6	73.6	70.5	69.1	64.2	64.5	71.1	6	0
11/02/2015 03:30	76.5	73.6	71	69.4	64.3	64.1	70.9	6	0
11/02/2015 03:35	76.5	73.8	71.8	68.6	63.5	64.4	71	6	0
11/02/2015 03:40	76.4	74	71	68.1	64.4	64.4	70.8	6	0
11/02/2015 03:45	76.1	73.6	69.9	66.1	64.1	64.7	71	6	0
11/02/2015 03:50	76.3	73.2	70.5	65.2	63.4	64.2	70.8	6	0
11/02/2015 03:55	76.4	73.4	71.7	66.3	63.4	64.1	71.1	6	0
11/02/2015 04:00	76.5	74.4	72	65	64.4	64.3	70.9	6	0
11/02/2015 04:05	76.5	75.2	72.1	67.2	64.5	64.6	72.2	6	0
11/02/2015 04:10	77	75.7	71.3	63.1	64.6	64.5	72	6	0
11/02/2015 04:15	76.8	75.7	71.6	61.3	63.8	64.8	71.1	6	0
11/02/2015 04:20	76.7	75.5	73.3	66.8	63.8	64.2	72.5	6	0
11/02/2015 04:25	77.1	75.6	75.9	58.3	64.7	64.5	71.5	6	0
11/02/2015 04:30	76.8	75.8	72	61.1	65	64.5	71.6	6	0
11/02/2015 04:35	76.9	76	70.3	63.6	64.9	64.7	71.6	6	0
11/02/2015 04:40	76.4	74	67.4	65.2	65.4	64.9	70.4	6	0
11/02/2015 04:45	76	75.2	67.2	68.3	65.3	65.4	71	6	0
11/02/2015 04:50	76.2	75	67.2	65.5	64.9	64.5	70.7	6	0
11/02/2015 04:55	75.5	75.6	71.3	66.1	65.6	64.3	71.7	6	0
11/02/2015 05:00	78.3	76.5	75.7	64.7	65.2	65.6	72.9	6	0
11/02/2015 05:05	78.3	77.2	73.3	66.3	64.7	65.3	72.9	6	0
11/02/2015 05:10	77.7	76.5	71	63	64.9	65	71.5	6	0
11/02/2015 05:15	77.6	75.2	74.8	61.5	64.1	65.1	71.7	6	0
11/02/2015 05:20	77.6	73.8	70.4	65.7	64	63.8	71.3	6	0
11/02/2015 05:25	77.8	75	70.5	68.3	66.8	63.4	72	6	0
11/02/2015 05:30	76.5	72.1	68.4	66.6	64.7	64.5	70.1	6	0
11/02/2015 05:35	76.2	73	69	68.2	62.4	65.2	70.2	6	0
11/02/2015 05:40	75.5	71.6	66.1	66.3	62.9	63.9	68.9	6	0
11/02/2015 05:45	76	72.2	66.8	67.2	61.6	65.2	69.3	6	0
11/02/2015 05:50	76.1	71.9	71.9	68.3	60.7	64.7	69.9	6	0
11/02/2015 05:55	75.3	71.3	64.6	67.3	59.8	65.3	68.1	6	0
11/02/2015 06:00	74	70.9	63.7	67.8	61.2	63.6	67.5	6	0
11/02/2015 06:05	73.6	71.1	65.2	67.7	60	62.6	67.6	6	0
11/02/2015 06:10	72.9	71	64.5	69.5	60.3	60.6	67.3	6	0
11/02/2015 06:15	74.6	70.8	65.3	70.9	57	56.7	67.2	6	0
11/02/2015 06:20	74.5	69.6	66.3	66.4	57.9	51.8	65.7	6	0
11/02/2015 06:25	73.7	71.1	69.3	67.9	59.3	57.2	67.4	6	0
11/02/2015 06:30	72.2	70.7	71.5	67.2	55.9	60.9	66.5	6	0
11/02/2015 06:35	73.7	72.2	69.4	70.2	59.4	61.5	68.3	6	0
11/02/2015 06:40	75.6	72.9	75.4	71.4	58.9	62.2	69.8	6	0
11/02/2015 06:45	76.5	73.4	72	70.4	58.3	63.1	69.2	6	0
11/02/2015 06:50	76.7	73.4	76.2	69.1	59.8	63.4	69.9	6	0
11/02/2015 06:55	76.2	72.7	72.4	70.3	59.9	61.2	69.3	6	0
11/02/2015 07:00	75.4	72.7	74.6	69.7	60.3	61.6	69.3	6	0
11/02/2015 07:05	75.6	72.9	75.2	70	58.7	61.6	68.7	6	0
11/02/2015 07:10	76.3	73.2	71	69.7	58.5	61.7	68.5	6	0
11/02/2015 07:15	75.8	72.2	71.2	70.1	57.5	60.8	68	6	0
11/02/2015 07:20	75.7	72.6	67.9	71.1	57.3	60.1	67.9	6	0
11/02/2015 07:25	75.3	72.4	66.2	68.9	53.9	59.9	65.9	6	0
11/02/2015 07:30	75.5	72.6	71.1	69.4	55.7	59.6	67.4	6	0
11/02/2015 07:35	76.1	72.5	70.3	67.2	54.9	58.1	66.3	6	0
11/02/2015 07:40	76.9	71.2	67.8	65.8	52.6	56.2	64.9	6	0
11/02/2015 07:45	76.3	71.8	68.4	64.5	51.5	50.1	63.5	6	0
11/02/2015 07:50	76.5	72.6	69.6	64	51.7	49.1	63.9	6	0
11/02/2015 07:55	76.1	69.9	71.5	63.6	52	52.4	64	6	0
11/02/2015 08:00	73.3	68.5	67.8	62.7	49.7	49.4	62.1	6	0
11/02/2015 08:05	74.4	70.4	69.4	63.6	52.2	51.3	63.3	6	0
11/02/2015 08:10	74.2	70.2	69.7	62.6	54.1	55.1	63.9	6	0
11/02/2015 08:15	75.7	70	70.8	64.2	53.5	57.9	65	6	0
11/02/2015 08:20	74.1	70.1	70.7	62.8	51.5	61.9	64	6	0
11/02/2015 08:25	73.7	68.3	67.3	62.3	51	58.2	63.1	6	0
11/02/2015 08:30	74.8	69.3	71	59	50.4	58	62.8	6	0
11/02/2015 08:35	75.7	71.8	69.5	63.6	54	56.5	64.8	6	0
11/02/2015 08:40	75.6	71.6	72.4	64.4	53.6	55.9	64.9	6	0
11/02/2015 08:45	76	72.5	72	66.7	55.5	52.2	65.4	6	0
11/02/2015 08:50	76.5	71.7	70.7	66.8	53.9	54.7	65.8	6	0
11/02/2015 08:55	77.6	72.8	66.5	68	54.6	52.2	66.1	6	0
11/02/2015 09:00	74.5	70.4	65.1	62.7	48.1	49.3	61.4	6	0
11/02/2015 09:05	75.3	71	67.1	59.3	46.6	53.8	61.6	6	0
11/02/2015 09:10	75.7	72.9	70.4	61.6	51	54	63.9	6	0
11/02/2015 09:15	75.2	70.8	66.8	64	52.8	53.1	64.2	6	0
11/02/2015 09:20	75.4	70.4	64.4	65	53.9	52	63.5	6	0
11/02/2015 09:25	74.7	69.9	62.7	63.6	52.1	55.2	62.9	6	0
11/02/2015 09:30	74.3	69.9	63.2	63.8	50.8	49	62.1	6	0
11/02/2015 09:35	74.8	70.5	66.5	59	48.8	49.2	61.2	6	0
11/02/2015 09:40	74.3	69.9	59.4	58.4	47.1	51.2	60	6	0
11/02/2015 09:45	74.8	69.9	66.1	55.7	47.9	53.7	61	6	0
11/02/2015 09:50	75.2	70.5	62	57.7	49.4	54.6	60.9	6	0
11/02/2015 09:55	74	66.9	62.2	58.7	48	53.8	60.2	6	0
11/02/2015 10:00	72.8	67.7	61.5	59.5	49.3	54.8	60.9	6	0
