5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Lane 5 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/02/2015 00:00	76.5	74	79.3	75	59.7	72.9	5	80
11/02/2015 00:05	76.4	74.6	77.6	74	59.8	72.4	5	80
11/02/2015 00:10	76.7	74.5	70	73.5	59.6	70.5	5	80
11/02/2015 00:15	76.5	74.9	67.7	73.3	59.2	70.6	5	80
11/02/2015 00:20	76.4	74.2	70.9	71.9	59.6	70.5	5	80
11/02/2015 00:25	76.4	74.1	64.7	66.8	59	67.2	5	80
11/02/2015 00:30	76.4	74.1	70.1	70.2	59.4	69.3	5	80
11/02/2015 00:35	76.5	74	71.9	73.2	59.4	70.3	5	80
11/02/2015 00:40	76.5	74.1	70.6	67.6	59.5	68.8	5	80
11/02/2015 00:45	76.5	73.6	68.5	68.4	59.3	68.4	5	80
11/02/2015 00:50	76.5	73.9	71.1	70.8	59.4	69.1	5	80
11/02/2015 00:55	76.7	73.8	69.8	70.2	59.5	68.9	5	80
11/02/2015 01:00	76.6	73.8	67.1	65.8	59	66.8	5	80
11/02/2015 01:05	76.5	73.9	73.4	66.3	59.6	68.6	5	80
11/02/2015 01:10	76.5	74	73.3	68.7	59.8	68.8	5	80
11/02/2015 01:15	76.4	74.1	75.1	65.7	59.4	69.4	5	80
11/02/2015 01:20	76.4	74.1	72.4	64.2	59.2	68.2	5	80
11/02/2015 01:25	76.4	74	73.9	68.8	59.8	69.2	5	80
11/02/2015 01:30	76.5	74.2	73.3	66.8	59.4	67.3	5	80
11/02/2015 01:35	76.6	74	73.6	68.5	59.5	69.3	5	80
11/02/2015 01:40	76.4	73.9	65.1	68.5	59.2	67.1	5	80
11/02/2015 01:45	76.4	73.9	65.8	68.9	59.2	67.1	5	80
11/02/2015 01:50	76.4	74.1	68.4	68.6	59.2	68.2	5	80
11/02/2015 01:55	76.5	73.8	60.4	65.9	59.2	64.4	5	80
11/02/2015 02:00	76.5	73.7	64.3	65.7	59.2	65.7	5	80
11/02/2015 02:05	76.5	73.9	68.3	68.4	59.2	66.7	5	80
11/02/2015 02:10	76.6	73.6	66.7	62.5	58	65.7	5	80
11/02/2015 02:15	76.5	73.8	66.9	66.2	59.2	65.5	5	80
11/02/2015 02:20	76.4	73.9	70.7	68.1	59.2	67.1	5	80
11/02/2015 02:25	76.5	74.1	72.1	68.1	59.3	68.3	5	80
11/02/2015 02:30	76.5	74	73	65.6	59.3	67.5	5	80
11/02/2015 02:35	76.8	74.1	73.1	68.5	59.6	67.3	5	80
11/02/2015 02:40	76.6	74.1	72.3	70	59.4	68.2	5	80
11/02/2015 02:45	76.7	74	72.5	65.6	59.3	67.6	5	80
11/02/2015 02:50	76.5	74	72.2	69.4	59.6	68.2	5	80
11/02/2015 02:55	76.5	74.1	71.6	69.1	59.5	67.5	5	80
11/02/2015 03:00	76.5	74	71.8	68.8	59.5	67.1	5	80
11/02/2015 03:05	76.3	73.8	71.6	65.1	59.3	67.1	5	80
11/02/2015 03:10	76.3	73.7	70.9	65.4	59.3	67.7	5	80
11/02/2015 03:15	76.6	73.9	71.4	67.8	59.5	67.1	5	80
11/02/2015 03:20	76.6	73.8	69.6	63.8	59.3	65.9	5	80
11/02/2015 03:25	76.4	73.9	68.9	63.4	59.2	66.5	5	80
11/02/2015 03:30	76.5	74	70.8	67.1	59.3	67.6	5	80
11/02/2015 03:35	76.5	74	70.7	67.1	59.3	67.3	5	80
11/02/2015 03:40	76.5	74	71.2	69.3	59.4	67.2	5	80
11/02/2015 03:45	76.5	74	72.1	69.2	59.3	68.9	5	80
11/02/2015 03:50	76.5	74	72.5	68.8	59.2	68	5	80
11/02/2015 03:55	76.5	74.1	72.2	68.9	59.3	68.9	5	80
11/02/2015 04:00	76.5	74	72.3	69.5	59.4	69.2	5	80
11/02/2015 04:05	76.5	73.9	72.5	70.7	59.3	69.4	5	80
11/02/2015 04:10	76.5	74	69.1	70	59.2	68.6	5	80
11/02/2015 04:15	76.6	74	68.5	68.8	59.1	68.4	5	80
11/02/2015 04:20	76.6	74.3	66.1	68.1	59.1	68.2	5	80
11/02/2015 04:25	76.7	74.1	71.6	64.6	59.2	68.6	5	80
11/02/2015 04:30	76.4	74.1	74.2	70.2	59.9	70.4	5	80
11/02/2015 04:35	76.4	73.8	74.8	63.2	59.3	68.6	5	80
11/02/2015 04:40	76.6	73.9	75.7	66.7	59.4	70.4	5	80
11/02/2015 04:45	76.4	73.9	66.5	66.8	59.1	68	5	80
