5 Minutes	Lane 1 Occ (%)	Lane 2 Occ (%)	Lane 3 Occ (%)	Occupancy (%)	# Lane Points	% Observed
11/02/2015 00:00	3.56	3.95	4.26	3.92	3	0
11/02/2015 00:05	3.49	3.94	4.31	3.91	3	0
11/02/2015 00:10	2.78	3.59	3.94	3.44	3	0
11/02/2015 00:15	3.41	3.89	4.28	3.86	3	0
11/02/2015 00:20	3.04	3.81	4.19	3.68	3	0
11/02/2015 00:25	3.14	3.52	3.86	3.5	3	0
11/02/2015 00:30	3.07	3.4	3.71	3.39	3	0
11/02/2015 00:35	2.87	3.24	3.55	3.22	3	0
11/02/2015 00:40	2.99	3.3	3.62	3.31	3	0
11/02/2015 00:45	2.95	3.57	3.79	3.44	3	0
11/02/2015 00:50	3.02	3.52	3.73	3.42	3	0
11/02/2015 00:55	2.49	2.91	3.18	2.86	3	0
11/02/2015 01:00	2.65	3.43	3.77	3.29	3	0
11/02/2015 01:05	2.69	3.09	3.36	3.05	3	0
11/02/2015 01:10	2.71	3.1	3.37	3.06	3	0
11/02/2015 01:15	2.4	2.91	3.18	2.83	3	0
11/02/2015 01:20	2.36	2.96	3.1	2.81	3	0
11/02/2015 01:25	2.31	2.66	2.86	2.61	3	0
11/02/2015 01:30	2.59	3.2	3.37	3.05	3	0
11/02/2015 01:35	2.06	2.79	3.05	2.63	3	0
11/02/2015 01:40	2.31	2.7	2.95	2.66	3	0
11/02/2015 01:45	2.29	2.93	3.22	2.81	3	0
11/02/2015 01:50	2.11	2.41	2.67	2.4	3	0
11/02/2015 01:55	2.22	2.77	2.88	2.62	3	0
11/02/2015 02:00	2.34	2.94	3.23	2.84	3	0
11/02/2015 02:05	2.16	2.8	2.91	2.62	3	0
11/02/2015 02:10	2.12	2.68	2.78	2.53	3	0
11/02/2015 02:15	2.62	2.93	3.2	2.92	3	0
11/02/2015 02:20	2.19	2.82	3	2.67	3	0
11/02/2015 02:25	2.22	2.84	2.96	2.67	3	0
11/02/2015 02:30	2.23	2.64	2.88	2.58	3	0
11/02/2015 02:35	2.51	2.82	3.1	2.81	3	0
11/02/2015 02:40	2.03	2.6	2.83	2.49	3	0
11/02/2015 02:45	2.03	2.47	2.69	2.39	3	0
11/02/2015 02:50	2.21	2.6	2.82	2.54	3	0
11/02/2015 02:55	2.01	2.95	3.16	2.7	3	0
11/02/2015 03:00	1.92	2.36	2.42	2.23	3	0
11/02/2015 03:05	2.17	2.56	2.76	2.5	3	0
11/02/2015 03:10	2.09	2.5	2.58	2.39	3	0
11/02/2015 03:15	2.75	3.05	3.34	3.05	3	0
11/02/2015 03:20	2.33	2.76	3.04	2.71	3	0
11/02/2015 03:25	2.09	2.48	2.71	2.43	3	0
11/02/2015 03:30	2.37	2.8	2.93	2.7	3	0
