5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 00:00	205	43	33	17	7	0	305	6	100
11/09/2015 00:05	187	53	36	24	4	2	306	6	100
11/09/2015 00:10	187	50	33	16	8	1	295	6	100
11/09/2015 00:15	210	59	36	18	5	0	328	6	100
11/09/2015 00:20	197	64	32	24	2	2	321	6	100
11/09/2015 00:25	194	60	36	21	4	1	316	6	100
11/09/2015 00:30	190	49	33	14	6	0	292	6	100
11/09/2015 00:35	196	69	37	20	6	4	332	6	100
11/09/2015 00:40	211	48	28	18	3	0	308	6	100
11/09/2015 00:45	193	41	31	11	3	3	282	6	100
11/09/2015 00:50	184	58	26	14	5	4	291	6	100
11/09/2015 00:55	167	44	23	10	3	0	247	6	100
11/09/2015 01:00	11	13	11	12	11	8	66	6	0
11/09/2015 01:05	11	13	11	11	10	8	64	6	0
11/09/2015 01:10	11	13	11	11	10	8	64	6	0
11/09/2015 01:15	171	47	13	9	4	0	244	6	100
11/09/2015 01:20	170	51	23	9	4	1	258	6	100
11/09/2015 01:25	163	34	20	10	4	0	231	6	100
11/09/2015 01:30	150	36	13	10	9	1	219	6	100
11/09/2015 01:35	180	33	26	11	6	3	259	6	100
11/09/2015 01:40	160	41	13	7	0	0	221	6	100
11/09/2015 01:45	171	40	26	9	0	0	246	6	100
11/09/2015 01:50	183	45	24	13	4	0	269	6	100
11/09/2015 01:55	164	56	27	7	4	1	259	6	100
11/09/2015 02:00	169	44	23	16	4	0	256	6	100
11/09/2015 02:05	201	41	19	11	4	3	279	6	100
11/09/2015 02:10	173	26	11	14	3	0	227	6	100
11/09/2015 02:15	196	47	21	11	1	0	276	6	100
11/09/2015 02:20	194	26	26	7	3	3	259	6	100
11/09/2015 02:25	141	36	26	6	3	0	212	6	100
11/09/2015 02:30	181	33	20	3	3	0	240	6	100
11/09/2015 02:35	180	54	33	14	1	1	283	6	100
11/09/2015 02:40	174	36	16	13	4	1	244	6	100
11/09/2015 02:45	160	43	20	3	1	1	228	6	100
11/09/2015 02:50	183	44	23	7	0	0	257	6	100
11/09/2015 02:55	164	34	27	14	6	0	245	6	100
11/09/2015 03:00	201	49	26	13	6	3	298	6	100
11/09/2015 03:05	163	27	21	9	3	1	224	6	100
11/09/2015 03:10	174	60	33	3	1	0	271	6	100
11/09/2015 03:15	184	45	20	8	3	0	260	6	100
11/09/2015 03:20	164	54	33	9	7	4	271	6	100
11/09/2015 03:25	191	60	29	7	1	3	291	6	100
11/09/2015 03:30	183	59	23	16	6	1	288	6	100
11/09/2015 03:35	161	40	29	13	10	1	254	6	100
11/09/2015 03:40	186	53	30	23	4	0	296	6	100
11/09/2015 03:45	179	64	34	17	14	6	314	6	100
11/09/2015 03:50	214	73	27	24	7	1	346	6	100
11/09/2015 03:55	221	59	23	17	7	0	327	6	100
11/09/2015 04:00	186	74	29	16	9	0	314	6	100
11/09/2015 04:05	218	61	43	23	11	4	360	6	100
11/09/2015 04:10	190	73	46	26	16	1	352	6	100
11/09/2015 04:15	210	74	49	35	9	3	380	6	100
11/09/2015 04:20	220	84	56	27	11	3	401	6	100
11/09/2015 04:25	218	100	69	43	15	3	448	6	100
11/09/2015 04:30	227	101	66	39	19	0	452	6	100
11/09/2015 04:35	237	101	59	54	31	7	489	6	100
11/09/2015 04:40	258	118	88	44	20	2	530	6	100
11/09/2015 04:45	230	119	73	57	27	3	509	6	100
11/09/2015 04:50	243	125	71	58	25	4	526	6	100
11/09/2015 04:55	273	133	70	56	30	3	565	6	100
11/09/2015 05:00	280	113	80	59	33	7	572	6	100
11/09/2015 05:05	269	139	96	74	39	6	623	6	100
11/09/2015 05:10	286	170	111	89	43	1	700	6	100
11/09/2015 05:15	293	190	107	109	59	11	769	6	100
11/09/2015 05:20	280	171	130	106	63	4	754	6	100
11/09/2015 05:25	287	173	147	131	117	17	872	6	100
11/09/2015 05:30	293	196	167	146	116	20	938	6	100
11/09/2015 05:35	303	186	157	154	114	29	943	6	100
11/09/2015 05:40	256	179	153	143	130	23	884	6	100
11/09/2015 05:45	256	166	144	154	147	27	894	6	100
11/09/2015 05:50	249	156	134	143	174	40	896	6	100
11/09/2015 05:55	204	133	134	140	143	37	791	6	100
11/09/2015 06:00	196	134	123	123	129	69	774	6	100
11/09/2015 06:05	200	140	127	134	127	73	801	6	100
11/09/2015 06:10	191	149	117	139	131	83	810	6	100
11/09/2015 06:15	223	148	128	129	131	99	858	6	100
11/09/2015 06:20	209	124	113	113	110	107	776	6	100
11/09/2015 06:25	214	159	134	126	130	97	860	6	100
11/09/2015 06:30	219	137	124	120	121	100	821	6	100
11/09/2015 06:35	221	140	126	114	113	103	817	6	100
11/09/2015 06:40	196	119	106	100	97	101	719	6	100
11/09/2015 06:45	187	123	114	99	106	107	736	6	100
11/09/2015 06:50	197	137	130	110	114	103	791	6	100
11/09/2015 06:55	200	126	124	107	104	104	765	6	100
11/09/2015 07:00	174	124	104	99	90	103	694	6	100
11/09/2015 07:05	197	124	100	97	93	110	721	6	100
11/09/2015 07:10	141	99	81	70	78	79	548	6	100
11/09/2015 07:15	199	131	100	96	117	110	753	6	100
11/09/2015 07:20	191	134	113	104	110	96	748	6	100
11/09/2015 07:25	164	129	120	103	86	107	709	6	100
11/09/2015 07:30	179	123	97	87	74	97	657	6	100
11/09/2015 07:35	147	106	83	73	77	86	572	6	100
11/09/2015 07:40	206	131	109	108	109	113	776	6	100
11/09/2015 07:45	180	119	94	90	106	104	693	6	100
11/09/2015 07:50	166	110	90	90	86	99	641	6	100
11/09/2015 07:55	153	104	97	89	84	99	626	6	100
11/09/2015 08:00	180	126	109	84	100	104	703	6	100
11/09/2015 08:05	200	117	107	99	94	123	740	6	100
11/09/2015 08:10	164	120	107	86	93	94	664	6	100
11/09/2015 08:15	180	120	106	95	100	116	717	6	100
11/09/2015 08:20	186	120	107	87	101	101	702	6	100
11/09/2015 08:25	184	110	89	90	91	96	660	6	100
11/09/2015 08:30	196	111	106	96	90	107	706	6	100
11/09/2015 08:35	196	126	121	104	110	116	773	6	100
11/09/2015 08:40	187	117	109	93	106	121	733	6	100
11/09/2015 08:45	131	103	96	87	90	99	606	6	100
11/09/2015 08:50	210	151	109	101	111	107	789	6	100
