5 Minutes	Lane 1 Occ (%)	Lane 2 Occ (%)	Lane 3 Occ (%)	Lane 4 Occ (%)	Lane 5 Occ (%)	Occupancy (%)	# Lane Points	% Observed
11/09/2015 00:00	2.32	2.58	3.5	3.96	1.87	2.85	5	60
11/09/2015 00:05	2.06	2.23	3.69	3.73	1.41	2.62	5	60
11/09/2015 00:10	1.93	2.15	3.37	3.58	2.03	2.61	5	60
11/09/2015 00:15	1.86	2.21	3.34	3.63	1.08	2.42	5	60
11/09/2015 00:20	1.89	2.65	3.45	3.75	1.32	2.61	5	60
11/09/2015 00:25	2.26	2.33	3.62	3.74	1.11	2.61	5	60
11/09/2015 00:30	1.38	2.56	3.29	3.55	1.82	2.52	5	60
11/09/2015 00:35	1.24	1.94	3.28	3.41	.66	2.11	5	60
11/09/2015 00:40	1.48	2.11	3.28	3.54	1.1	2.3	5	60
11/09/2015 00:45	.83	1.67	3.17	3.39	.72	1.96	5	60
11/09/2015 00:50	1.4	1.71	3.24	3.55	1.85	2.35	5	60
11/09/2015 00:55	.9	1.9	3.19	3.36	1.09	2.09	5	60
11/09/2015 01:00	1	1.35	1.48	1.41	1.01	1.25	5	0
11/09/2015 01:05	.96	1.3	1.42	1.35	.97	1.2	5	0
11/09/2015 01:10	.97	1.31	1.43	1.36	.98	1.21	5	0
11/09/2015 01:15	1.13	1.05	2.83	3.03	.66	1.74	5	60
11/09/2015 01:20	1.07	1.55	3	3.05	1.06	1.95	5	60
11/09/2015 01:25	1.13	.87	2.85	3.01	.6	1.69	5	60
11/09/2015 01:30	.78	1.5	2.71	2.98	.94	1.78	5	60
11/09/2015 01:35	.8	1.14	3.17	3.19	2.17	2.09	5	60
11/09/2015 01:40	.31	1.39	2.97	3.19	1.38	1.85	5	60
11/09/2015 01:45	.5	.94	2.68	2.91	.15	1.44	5	60
11/09/2015 01:50	.92	1.39	2.94	2.95	1.2	1.88	5	60
11/09/2015 01:55	.69	.82	2.82	3.03	.32	1.54	5	60
11/09/2015 02:00	.33	.77	3.03	3.21	2.03	1.87	5	60
11/09/2015 02:05	.48	.66	2.89	2.98	1.25	1.65	5	60
11/09/2015 02:10	.21	.93	2.76	2.77	.38	1.41	5	60
11/09/2015 02:15	.48	.67	2.83	2.98	.34	1.46	5	60
11/09/2015 02:20	.87	.63	2.84	2.93	.17	1.49	5	60
11/09/2015 02:25	.19	.8	2.71	2.72	1.33	1.55	5	60
11/09/2015 02:30	.36	1.08	2.6	2.63	.89	1.51	5	60
