5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 08:40	92	100	73	74	63	70	472	6	100
11/09/2015 08:45	63	88	61	67	70	60	409	6	100
11/09/2015 08:50	81	81	74	68	74	68	446	6	100
11/09/2015 08:55	87	76	81	72	70	47	433	6	100
11/09/2015 09:00	85	89	58	74	69	56	431	6	100
11/09/2015 09:05	63	70	57	49	69	54	362	6	100
11/09/2015 09:10	80	76	61	68	84	66	435	6	100
11/09/2015 09:15	76	94	66	70	82	59	447	6	100
11/09/2015 09:20	72	83	49	65	80	68	417	6	100
11/09/2015 09:25	87	80	76	80	82	64	469	6	100
11/09/2015 09:30	80	87	65	67	87	71	457	6	100
11/09/2015 09:35	80	89	68	75	83	87	482	6	100
11/09/2015 09:40	73	80	69	67	82	76	447	6	100
11/09/2015 09:45	88	96	77	78	103	81	523	6	100
11/09/2015 09:50	66	76	55	70	71	56	394	6	100
11/09/2015 09:55	76	88	65	73	84	69	455	6	100
11/09/2015 10:00	78	89	51	72	74	64	428	6	100
11/09/2015 10:05	70	74	51	72	61	58	386	6	100
11/09/2015 10:10	75	80	62	70	73	57	417	6	100
11/09/2015 10:15	76	93	64	66	65	56	420	6	100
11/09/2015 10:20	70	72	77	61	87	67	434	6	100
11/09/2015 10:25	76	86	62	68	73	71	436	6	100
11/09/2015 10:30	85	94	63	73	75	60	450	6	100
11/09/2015 10:35	75	83	60	83	87	81	469	6	100
11/09/2015 10:40	79	84	58	88	81	73	463	6	100
11/09/2015 10:45	76	82	71	84	72	78	463	6	100
11/09/2015 10:50	74	83	66	71	76	81	451	6	100
11/09/2015 10:55	64	76	59	63	76	64	402	6	100
11/09/2015 11:00	61	68	54	53	71	76	383	6	100
11/09/2015 11:05	72	89	74	72	73	88	468	6	100
11/09/2015 11:10	63	77	75	60	69	75	419	6	100
11/09/2015 11:15	90	77	55	61	77	70	430	6	100
11/09/2015 11:20	68	88	72	75	61	86	450	6	100
11/09/2015 11:25	68	74	54	67	70	79	412	6	100
11/09/2015 11:30	75	85	65	65	82	78	450	6	100
11/09/2015 11:35	72	71	52	60	65	75	395	6	100
11/09/2015 11:40	65	67	63	80	80	76	431	6	100
11/09/2015 11:45	61	84	56	78	71	65	415	6	100
11/09/2015 11:50	61	77	57	58	77	80	410	6	100
11/09/2015 11:55	58	81	59	77	74	82	431	6	100
11/09/2015 12:00	64	81	59	70	94	51	419	6	100
11/09/2015 12:05	63	71	58	65	83	65	405	6	100
11/09/2015 12:10	76	76	67	77	75	63	434	6	100
11/09/2015 12:15	71	73	65	71	75	72	427	6	100
11/09/2015 12:20	61	74	55	61	75	68	394	6	100
11/09/2015 12:25	76	80	57	77	77	70	437	6	100
11/09/2015 12:30	64	79	57	68	81	65	414	6	100
11/09/2015 12:35	79	76	67	68	71	64	425	6	100
