5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 00:00	294	48	45	25	43	455	5	100
11/09/2015 00:05	300	47	41	23	25	436	5	100
11/09/2015 00:10	303	55	59	27	20	464	5	100
11/09/2015 00:15	276	72	48	36	51	483	5	100
11/09/2015 00:20	312	62	41	20	7	442	5	100
11/09/2015 00:25	333	50	37	14	40	474	5	100
11/09/2015 00:30	283	49	37	38	51	458	5	100
11/09/2015 00:35	305	49	40	18	20	432	5	100
11/09/2015 00:40	320	58	41	20	11	450	5	100
11/09/2015 00:45	299	44	39	39	46	467	5	100
11/09/2015 00:50	278	44	32	25	33	412	5	100
11/09/2015 00:55	287	49	33	26	34	429	5	100
11/09/2015 01:00	265	35	25	33	70	428	5	100
11/09/2015 01:05	295	53	32	23	24	427	5	100
11/09/2015 01:10	255	37	19	8	33	352	5	100
11/09/2015 01:15	283	40	33	44	26	426	5	100
11/09/2015 01:20	301	29	23	17	37	407	5	100
11/09/2015 01:25	264	30	25	32	13	364	5	100
11/09/2015 01:30	311	41	32	43	61	488	5	100
11/09/2015 01:35	292	28	32	30	25	407	5	100
11/09/2015 01:40	282	50	23	26	35	416	5	100
11/09/2015 01:45	275	42	31	36	38	422	5	100
11/09/2015 01:50	272	32	34	18	47	403	5	100
11/09/2015 01:55	269	43	45	37	32	426	5	100
11/09/2015 02:00	318	35	20	13	13	399	5	100
11/09/2015 02:05	300	40	38	32	11	421	5	100
11/09/2015 02:10	213	31	27	46	8	325	5	100
11/09/2015 02:15	267	52	40	66	68	493	5	100
11/09/2015 02:20	282	35	31	13	64	425	5	100
11/09/2015 02:25	327	31	27	39	7	431	5	100
11/09/2015 02:30	270	29	18	12	41	370	5	100
11/09/2015 02:35	243	35	25	8	7	318	5	100
11/09/2015 02:40	253	31	37	34	85	440	5	100
11/09/2015 02:45	212	40	36	48	34	370	5	100
11/09/2015 02:50	267	52	24	7	44	394	5	100
11/09/2015 02:55	287	36	25	33	7	388	5	100
11/09/2015 03:00	241	46	34	55	46	422	5	100
11/09/2015 03:05	267	42	39	19	9	376	5	100
11/09/2015 03:10	292	43	35	27	73	470	5	100
11/09/2015 03:15	239	36	34	19	54	382	5	100
11/09/2015 03:20	253	60	44	92	16	465	5	100
11/09/2015 03:25	324	42	36	27	17	446	5	100
11/09/2015 03:30	274	43	40	58	23	438	5	100
