5 Minutes	Lane 1 Occ (%)	Lane 2 Occ (%)	Lane 3 Occ (%)	Lane 4 Occ (%)	Lane 5 Occ (%)	Occupancy (%)	# Lane Points	% Observed
11/02/2015 00:00	2.71	3.06	1.15	3.21	2.18	2.46	5	0
11/02/2015 00:05	2.96	3.3	1.56	.39	2.44	2.13	5	0
11/02/2015 00:10	2.84	3.18	1.28	3.31	2.32	2.59	5	0
11/02/2015 00:15	2.81	3.16	1.26	0	2.25	1.9	5	0
11/02/2015 00:20	2.68	3.02	1.13	.01	2.21	1.81	5	0
11/02/2015 00:25	2.84	3.31	1.49	3.51	2.22	2.67	5	0
11/02/2015 00:30	2.75	3.1	1.06	3.24	2.12	2.46	5	0
11/02/2015 00:35	2.6	2.94	1.01	3.07	2.09	2.34	5	0
11/02/2015 00:40	2.6	2.94	1.01	.04	1.98	1.71	5	0
11/02/2015 00:45	2.75	3.09	1.22	.36	2.09	1.9	5	0
11/02/2015 00:50	2.58	2.92	1.06	3.06	2.05	2.34	5	0
11/02/2015 00:55	2.75	3.09	1.13	3.26	2.18	2.48	5	0
11/02/2015 01:00	2.12	2.46	.74	2.51	1.67	1.9	5	0
11/02/2015 01:05	2.32	2.67	1.06	2.73	1.88	2.13	5	0
11/02/2015 01:10	2.09	2.43	.29	2.47	1.75	1.8	5	0
11/02/2015 01:15	2.16	2.5	.37	2.55	1.82	1.88	5	0
11/02/2015 01:20	2.07	2.41	.08	2.38	1.72	1.73	5	0
11/02/2015 01:25	2.32	2.66	.59	2.74	1.83	2.03	5	0
11/02/2015 01:30	2.51	2.84	.77	2.97	1.91	2.2	5	0
11/02/2015 01:35	2.27	2.61	.35	2.62	1.78	1.93	5	0
11/02/2015 01:40	2.09	2.43	.15	2.41	1.61	1.74	5	0
11/02/2015 01:45	2.32	2.69	.61	2.78	1.79	2.04	5	0
11/02/2015 01:50	2.2	2.56	.38	2.56	1.73	1.89	5	0
11/02/2015 01:55	2.02	2.35	.45	2.38	1.52	1.74	5	0
11/02/2015 02:00	2.13	2.47	.44	2.47	1.66	1.84	5	0
11/02/2015 02:05	2.05	2.38	.48	2.41	1.64	1.79	5	0
11/02/2015 02:10	2.04	2.37	.25	2.4	1.57	1.73	5	0
11/02/2015 02:15	2.45	2.78	.7	2.9	1.65	2.1	5	0
11/02/2015 02:20	2.1	2.44	.21	2.43	1.71	1.78	5	0
11/02/2015 02:25	2.3	2.77	.33	2.88	1.73	2	5	0
11/02/2015 02:30	2.13	2.46	.42	2.51	1.65	1.83	5	0
11/02/2015 02:35	2	2.33	.47	2.35	1.6	1.75	5	0
11/02/2015 02:40	2.24	2.64	.61	2.72	1.73	1.99	5	0
11/02/2015 02:45	2.45	2.87	.76	2.99	1.95	2.21	5	0
11/02/2015 02:50	2.18	2.52	.35	2.58	1.58	1.84	5	0
11/02/2015 02:55	2.49	2.98	.83	3.12	2.03	2.29	5	0
11/02/2015 03:00	2.28	2.78	.54	2.91	1.95	2.09	5	0
11/02/2015 03:05	2.24	2.72	.27	2.83	1.76	1.96	5	0
11/02/2015 03:10	2.31	2.65	.43	2.74	1.74	1.97	5	0
11/02/2015 03:15	2.21	2.58	.36	2.6	1.77	1.9	5	0
11/02/2015 03:20	2.26	2.76	.53	2.88	1.81	2.05	5	0
11/02/2015 03:25	2.27	2.77	1.11	2.81	1.72	2.14	5	0
11/02/2015 03:30	2.16	2.49	.66	2.55	1.68	1.9	5	0
11/02/2015 03:35	2.47	2.88	.8	2.95	2.03	2.23	5	0
11/02/2015 03:40	2.39	2.73	.78	2.83	1.77	2.1	5	0
11/02/2015 03:45	2.62	3.03	1.01	3.18	2.14	2.4	5	0
11/02/2015 03:50	2.49	2.98	.86	3.13	2.17	2.33	5	0
11/02/2015 03:55	2.44	2.78	.71	2.83	1.89	2.13	5	0
11/02/2015 04:00	2.52	3.01	.73	3.11	1.99	2.27	5	0
11/02/2015 04:05	2.44	2.78	.61	2.82	1.9	2.11	5	0
11/02/2015 04:10	2.79	3.12	1.19	3.31	2.09	2.5	5	0
11/02/2015 04:15	2.8	3.24	1.22	.01	2.19	1.89	5	0
11/02/2015 04:20	2.84	3.18	1.53	.41	2.48	2.09	5	0
11/02/2015 04:25	2.63	2.97	1.05	3.11	2.04	2.36	5	0
11/02/2015 04:30	3.52	3.96	2.27	.59	2.82	2.63	5	0
11/02/2015 04:35	3.17	3.51	1.78	.28	2.56	2.26	5	0
11/02/2015 04:40	3.64	4.09	2.09	1.53	2.77	2.82	5	0
11/02/2015 04:45	3.78	4.22	2.27	1.67	2.96	2.98	5	0
11/02/2015 04:50	3.45	3.79	2.31	.73	2.87	2.63	5	0
11/02/2015 04:55	3.89	4.32	2.41	1.2	2.87	2.94	5	0
11/02/2015 05:00	3.84	4.28	2.91	1.5	3.44	3.19	5	0
11/02/2015 05:05	4.33	4.75	3.39	1.65	3.58	3.54	5	0
11/02/2015 05:10	4.62	5.04	3.53	1.82	3.62	3.72	5	0
11/02/2015 05:15	4.71	5.07	3.89	1.68	3.93	3.86	5	0
11/02/2015 05:20	5.3	5.69	4.6	2.36	4.34	4.46	5	0
11/02/2015 05:25	5.35	5.7	4.64	2.28	4.43	4.48	5	0
11/02/2015 05:30	6.26	6.65	5.95	4.24	5.24	5.67	5	0
11/02/2015 05:35	6.28	6.59	6.49	4.34	5.51	5.84	5	0
11/02/2015 05:40	6.6	6.95	6.26	4.03	5.46	5.86	5	0
11/02/2015 05:45	6.94	7.26	7.03	4.38	5.93	6.31	5	0
11/02/2015 05:50	7.14	7.52	7.38	4.84	6.17	6.61	5	0
11/02/2015 05:55	7.3	7.6	7.54	4.75	6.26	6.69	5	0
11/02/2015 06:00	7.65	7.93	7.95	4.19	6.54	6.85	5	0
11/02/2015 06:05	8.55	8.8	9.26	5.15	7.38	7.83	5	0
11/02/2015 06:10	8.47	8.74	9.25	5.58	7.34	7.88	5	0
11/02/2015 06:15	8.71	8.96	9.5	5.99	7.52	8.13	5	0
11/02/2015 06:20	9.39	9.62	10.5	6.25	8.16	8.78	5	0
11/02/2015 06:25	8.54	8.8	9.33	6.14	7.4	8.04	5	0
11/02/2015 06:30	8.14	8.4	8.64	5.24	6.99	7.48	5	0
11/02/2015 06:35	8.98	9.23	9.68	6.6	7.75	8.45	5	0
11/02/2015 06:40	8.17	8.45	9.19	6.51	7.09	7.88	5	0
11/02/2015 06:45	8.29	8.58	10.18	7.3	7.66	8.4	5	0
11/02/2015 06:50	7.89	8.18	8.61	6.05	6.82	7.51	5	0
11/02/2015 06:55	8.61	8.89	9.51	6.22	7.49	8.14	5	0
11/02/2015 07:00	7.49	7.82	7.68	5.13	6.39	6.9	5	0
11/02/2015 07:05	10.26	10.46	11.71	7.84	8.96	9.85	5	0
11/02/2015 07:10	9.4	9.65	10.35	6.31	8.19	8.78	5	0
11/02/2015 07:15	9.09	9.35	9.52	7.17	7.65	8.56	5	0
11/02/2015 07:20	7.49	7.8	7.89	5.32	6.46	6.99	5	0
11/02/2015 07:25	9.61	9.86	10.54	7.92	8.31	9.25	5	0
11/02/2015 07:30	9.63	9.86	10.92	7.41	8.4	9.24	5	0
11/02/2015 07:35	9.38	9.61	9.87	6.8	7.89	8.71	5	0
11/02/2015 07:40	9.69	9.99	9.95	8.11	7.94	9.13	5	0
11/02/2015 07:45	9.05	9.3	9.72	6.94	7.78	8.56	5	0
11/02/2015 07:50	9.3	9.55	10.19	7.58	8.07	8.94	5	0
11/02/2015 07:55	8.27	8.57	9.93	7.45	7.63	8.37	5	0
11/02/2015 08:00	8.25	8.52	8.85	6.32	7.14	7.81	5	0
11/02/2015 08:05	8.73	9.01	9.06	6.75	7.33	8.18	5	0
11/02/2015 08:10	8.57	8.85	9.43	6.84	7.46	8.23	5	0
11/02/2015 08:15	8.6	8.86	9.42	6.58	7.45	8.18	5	0
11/02/2015 08:20	9.31	9.56	9.69	7.59	7.75	8.78	5	0
11/02/2015 08:25	8.6	8.92	8.53	7.14	6.99	8.04	5	0
11/02/2015 08:30	8.72	8.97	9.55	6.61	7.54	8.28	5	0
11/02/2015 08:35	9.16	9.43	10.29	7.1	8.01	8.8	5	0
11/02/2015 08:40	8.88	9.13	10.1	7.24	7.71	8.61	5	0
11/02/2015 08:45	9.42	9.69	10.05	7.21	7.98	8.87	5	0
11/02/2015 08:50	8.89	9.14	9.82	6.98	7.71	8.51	5	0
11/02/2015 08:55	8.59	8.85	9.42	6.7	7.44	8.2	5	0
11/02/2015 09:00	7.83	8.13	8.41	5.58	6.79	7.35	5	0
11/02/2015 09:05	8.42	8.71	10.04	7.29	7.66	8.42	5	0
11/02/2015 09:10	8.21	8.48	8.86	5.85	7.09	7.7	5	0
11/02/2015 09:15	7.8	8.16	7.97	6.73	6.46	7.42	5	0
11/02/2015 09:20	8.55	8.82	9.31	6.53	7.42	8.13	5	0
11/02/2015 09:25	8.01	8.32	7.92	5.69	6.56	7.3	5	0
11/02/2015 09:30	8.71	9.02	9.26	5.44	7.48	7.98	5	0
11/02/2015 09:35	7.65	7.97	7.78	5.74	6.46	7.12	5	0
11/02/2015 09:40	7.9	8.2	8.46	5.45	6.83	7.37	5	0
11/02/2015 09:45	7.51	7.81	7.89	4.83	6.47	6.9	5	0
11/02/2015 09:50	7.57	7.87	7.95	5.27	6.51	7.04	5	0
11/02/2015 09:55	6.96	7.29	6.77	4.96	5.76	6.35	5	0
11/02/2015 10:00	7.88	8.18	8.5	5.63	6.83	7.41	5	0
11/02/2015 10:05	7.95	8.25	8.6	5.6	6.9	7.46	5	0
11/02/2015 10:10	8.16	8.45	8.49	5.78	6.94	7.57	5	0
11/02/2015 10:15	8.31	8.61	8.24	6.27	6.78	7.64	5	0
11/02/2015 10:20	6.79	7.13	6.9	4.31	5.83	6.19	5	0
11/02/2015 10:25	7.97	8.26	8.59	5.8	6.9	7.51	5	0
11/02/2015 10:30	7.7	8.01	8.19	5.42	6.66	7.2	5	0
11/02/2015 10:35	7.21	7.52	7.47	4.75	6.2	6.63	5	0
11/02/2015 10:40	8.23	8.52	8.1	6.24	6.7	7.56	5	0
11/02/2015 10:45	7.43	7.75	8.17	5.71	6.51	7.11	5	0
11/02/2015 10:50	8.24	8.52	8.57	6.05	7	7.68	5	0
11/02/2015 10:55	8.18	8.47	8.54	5.46	6.98	7.52	5	0
11/02/2015 11:00	6.93	7.24	6.99	4.45	5.91	6.31	5	0
11/02/2015 11:05	7.75	8.05	8.27	5.41	6.7	7.23	5	0
11/02/2015 11:10	8.75	9.03	9.52	6.91	7.62	8.37	5	0
11/02/2015 11:15	8.37	8.64	9.13	6.35	7.25	7.95	5	0
11/02/2015 11:20	7.8	8.1	8.32	5.33	6.74	7.26	5	0
11/02/2015 11:25	8.02	8.32	8.53	5.5	6.96	7.46	5	0
11/02/2015 11:30	8.06	8.37	8.17	6.03	6.72	7.47	5	0
11/02/2015 11:35	7.89	8.18	8.45	5.61	6.82	7.39	5	0
11/02/2015 11:40	8.24	8.5	8.84	5.91	7.1	7.72	5	0
11/02/2015 11:45	7.82	8.1	8.28	5.49	6.73	7.28	5	0
11/02/2015 11:50	8.34	8.64	8.69	6.58	7.07	7.86	5	0
11/02/2015 11:55	8.24	8.53	9.2	7	7.19	8.03	5	0
11/02/2015 12:00	8.98	9.24	9.46	6.83	7.6	8.42	5	0
11/02/2015 12:05	8.39	8.68	9.05	6.44	7.29	7.97	5	0
11/02/2015 12:10	8.52	8.79	9.46	6.73	7.37	8.18	5	0
11/02/2015 12:15	8.36	8.65	9.21	6.45	7.28	7.99	5	0
11/02/2015 12:20	8.21	8.49	8.91	6.19	7.11	7.78	5	0
11/02/2015 12:25	8.1	8.39	8.89	6.28	7.02	7.74	5	0
11/02/2015 12:30	8.4	8.67	9.16	6.18	7.28	7.94	5	0
11/02/2015 12:35	7.91	8.22	8.33	5.98	6.83	7.45	5	0
11/02/2015 12:40	7.84	8.15	7.93	5.87	6.57	7.27	5	0
11/02/2015 12:45	8.79	9.07	8.96	7.04	7.26	8.22	5	0
11/02/2015 12:50	7.74	8.04	8.5	6.22	6.76	7.45	5	0
11/02/2015 12:55	8.34	8.59	8.9	5.44	7.16	7.69	5	0
11/02/2015 13:00	8.47	8.76	9.08	6.32	7.33	7.99	5	0
11/02/2015 13:05	7.72	8.02	8.18	5.94	6.59	7.29	5	0
11/02/2015 13:10	7.84	8.15	7.82	5.86	6.49	7.23	5	0
11/02/2015 13:15	7.53	7.85	7.38	5.25	6.21	6.84	5	0
11/02/2015 13:20	8.4	8.67	9.14	5.65	7.27	7.83	5	0
11/02/2015 13:25	8.77	9.03	9.64	6.72	7.6	8.35	5	0
11/02/2015 13:30	8.77	9.04	9.73	6.16	7.63	8.27	5	0
11/02/2015 13:35	8.82	9.09	9.79	6.85	7.67	8.44	5	0
11/02/2015 13:40	9.12	9.38	10.28	7.09	7.98	8.77	5	0
11/02/2015 13:45	8.54	8.78	9.14	5.66	7.33	7.89	5	0
11/02/2015 13:50	9.43	9.66	10.63	6.8	8.22	8.95	5	0
11/02/2015 13:55	8.67	8.93	9.87	7.06	7.52	8.41	5	0
11/02/2015 14:00	8.91	9.18	9.66	7.22	7.69	8.53	5	0
11/02/2015 14:05	9.53	9.75	10.35	7.14	8.21	9	5	0
11/02/2015 14:10	8.79	9.05	9.76	6.96	7.65	8.44	5	0
11/02/2015 14:15	8.64	8.89	9.42	6.06	7.46	8.09	5	0
11/02/2015 14:20	9.2	9.44	10.28	7.33	8	8.85	5	0
11/02/2015 14:25	9.65	9.97	10.05	7.4	8.01	9.02	5	0
11/02/2015 14:30	9.38	9.61	10.22	7.48	8.12	8.96	5	0
11/02/2015 14:35	9.74	9.95	10.94	7.74	8.45	9.36	5	0
11/02/2015 14:40	10.37	10.58	11.92	9.35	8.84	10.21	5	0
11/02/2015 14:45	10.37	10.59	13.46	10.06	9.67	10.83	5	0
11/02/2015 14:50	10.6	10.83	11.14	8.76	8.74	10.01	5	0
11/02/2015 14:55	10.33	10.52	11.98	8.74	9	10.11	5	0
11/02/2015 15:00	10.63	10.84	11.88	9.33	9.05	10.34	5	0
11/02/2015 15:05	10.53	10.73	12.55	9.46	9.23	10.5	5	0
11/02/2015 15:10	10.77	10.97	13.88	10.61	10	11.25	5	0
11/02/2015 15:15	10.67	10.88	13.97	10.33	9.86	11.14	5	0
11/02/2015 15:20	9.94	10.15	11.85	8.63	8.66	9.84	5	0
11/02/2015 15:25	9.51	9.75	11.66	8.48	8.52	9.58	5	0
