5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Lane 5 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/02/2015 00:00	76.5	74	73	70.1	64.5	72.8	5	0
11/02/2015 00:05	76.4	72.8	73.2	70.3	40.9	70.2	5	0
11/02/2015 00:10	75	72.6	72.4	69.6	56.1	70.9	5	0
11/02/2015 00:15	76.1	73.7	72.2	69.4	40.4	69.2	5	0
11/02/2015 00:20	75.8	74.2	72.5	69.6	51.1	72.1	5	0
11/02/2015 00:25	75.6	73.5	72.7	69.8	55.7	71.7	5	0
11/02/2015 00:30	76.3	73.9	72.4	69.6	61.3	72.4	5	0
11/02/2015 00:35	75.8	72.7	72.5	69.6	62.5	71.9	5	0
11/02/2015 00:40	76.4	73.1	71.9	69.1	41.7	69	5	0
11/02/2015 00:45	76.3	73.4	72.2	69.4	54.9	71.8	5	0
11/02/2015 00:50	76.6	74	72.2	69.4	61	72.3	5	0
11/02/2015 00:55	76.6	74.4	72.4	69.6	46.8	71.7	5	0
11/02/2015 01:00	77.3	74.8	72.8	69.9	65.2	72.7	5	0
11/02/2015 01:05	77.3	74.8	72.8	69.9	65.2	72.7	5	0
11/02/2015 01:10	76.5	74	73	70.1	64.5	70.7	5	0
11/02/2015 01:15	76.5	74	72	69.2	64.5	72.2	5	0
11/02/2015 01:20	76.4	73.5	72.1	69.3	65.4	71.5	5	0
11/02/2015 01:25	76.5	73.6	72.3	69.5	66.6	72.4	5	0
11/02/2015 01:30	76.6	74.4	72.2	69.4	66.6	72.8	5	0
11/02/2015 01:35	76.7	74.1	71.9	69.1	66.3	72	5	0
11/02/2015 01:40	76.6	73.6	73	70.1	67.3	72.3	5	0
11/02/2015 01:45	76.7	74.1	71.9	69.1	53.6	70.4	5	0
11/02/2015 01:50	76.5	74	71.4	68.6	61	71.5	5	0
11/02/2015 01:55	76.8	73.8	72.1	69.3	61.7	71.3	5	0
11/02/2015 02:00	76.6	73.9	72.7	69.8	64.5	72.7	5	0
11/02/2015 02:05	76.4	74	72	69.2	64.9	71.8	5	0
11/02/2015 02:10	76.5	74.1	72.1	69.3	63.8	71.8	5	0
11/02/2015 02:15	76.4	73.9	72.6	69.7	64.1	72.1	5	0
11/02/2015 02:20	76.4	74.1	71.8	69	62.4	71.8	5	0
11/02/2015 02:25	76.5	74	72.4	69.6	65.3	72.5	5	0
11/02/2015 02:30	76.4	74	71.9	69.1	56.8	71.5	5	0
11/02/2015 02:35	76.3	74	71.7	68.9	64.1	71.6	5	0
11/02/2015 02:40	76.3	74.3	72.1	69.3	60.6	71.5	5	0
11/02/2015 02:45	76.5	74.1	70	67.3	60.4	70.2	5	0
11/02/2015 02:50	76.6	73.8	71.5	68.7	60.7	72.2	5	0
11/02/2015 02:55	76.4	73.9	72.1	69.3	65.2	71.8	5	0
11/02/2015 03:00	76.4	73.6	71.2	68.4	65	71.9	5	0
11/02/2015 03:05	76.4	74.1	71.6	68.8	62.1	71.7	5	0
11/02/2015 03:10	76.3	73	71.5	68.7	60.6	71.3	5	0
11/02/2015 03:15	75.9	73.5	71.9	69.1	52.8	70.1	5	0
11/02/2015 03:20	76.1	73.7	70.7	68	46.8	69.7	5	0
11/02/2015 03:25	76.2	73.7	69.9	67.2	55.8	70.8	5	0
11/02/2015 03:30	76.6	74.3	70.6	67.9	60.1	72.2	5	0
11/02/2015 03:35	76.6	75.6	71.1	68.3	62.8	73.5	5	0
11/02/2015 03:40	76.1	75.5	71.3	68.5	64.8	73	5	0
11/02/2015 03:45	76.2	73.8	71.9	69.1	66.5	72.7	5	0
11/02/2015 03:50	76.4	74.1	71.7	68.9	66.2	72.8	5	0
11/02/2015 03:55	76.3	74	70.7	68	67.8	72.6	5	0
11/02/2015 04:00	76.9	74.6	71.8	69	52.6	71.3	5	0
11/02/2015 04:05	76.3	75.2	72.5	69.6	62.1	73.4	5	0
11/02/2015 04:10	77.5	75.5	72.1	69.3	58	73.3	5	0
