5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 00:00	12	19	16	12	12	8	79	6	100
11/09/2015 00:05	17	20	16	16	13	8	90	6	100
11/09/2015 00:10	14	17	15	10	12	5	73	6	100
11/09/2015 00:15	16	24	13	13	16	10	92	6	100
11/09/2015 00:20	9	16	15	11	13	7	71	6	100
11/09/2015 00:25	12	19	10	10	11	10	72	6	100
11/09/2015 00:30	16	16	7	14	9	2	64	6	100
11/09/2015 00:35	14	21	13	9	13	8	78	6	100
11/09/2015 00:40	9	22	18	7	17	7	80	6	100
11/09/2015 00:45	9	18	10	7	4	5	53	6	100
11/09/2015 00:50	6	20	9	11	13	1	60	6	100
11/09/2015 00:55	8	13	4	6	7	7	45	6	100
11/09/2015 01:00	4	9	7	8	9	10	47	6	100
11/09/2015 01:05	11	19	4	6	6	7	53	6	100
11/09/2015 01:10	8	13	8	7	9	5	50	6	100
11/09/2015 01:15	14	15	17	4	6	6	62	6	100
11/09/2015 01:20	11	10	10	9	8	5	53	6	100
11/09/2015 01:25	8	13	12	10	7	5	55	6	100
11/09/2015 01:30	8	3	11	11	5	3	41	6	100
11/09/2015 01:35	6	9	3	1	7	4	30	6	100
11/09/2015 01:40	7	8	5	9	6	7	42	6	100
11/09/2015 01:45	6	11	7	17	9	5	55	6	100
11/09/2015 01:50	7	17	10	5	7	7	53	6	100
11/09/2015 01:55	3	10	5	4	4	5	31	6	100
11/09/2015 02:00	6	9	8	5	6	3	37	6	100
11/09/2015 02:05	7	10	5	7	3	4	36	6	100
11/09/2015 02:10	5	6	8	3	3	2	27	6	100
11/09/2015 02:15	6	7	8	4	5	6	36	6	100
11/09/2015 02:20	2	4	6	7	7	7	33	6	100
11/09/2015 02:25	7	7	6	6	4	6	36	6	100
11/09/2015 02:30	8	6	9	10	6	3	42	6	100
11/09/2015 02:35	9	10	7	12	5	3	46	6	100
11/09/2015 02:40	9	16	7	6	11	6	55	6	100
11/09/2015 02:45	6	14	9	10	16	5	60	6	100
11/09/2015 02:50	11	15	15	12	4	3	60	6	100
11/09/2015 02:55	9	9	9	9	3	5	44	6	100
11/09/2015 03:00	16	15	10	5	7	2	55	6	100
11/09/2015 03:05	16	17	6	6	9	4	58	6	100
11/09/2015 03:10	12	15	12	7	8	5	59	6	100
