5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/02/2015 00:00	34	41	39	41	29	184	5	100
11/02/2015 00:05	32	52	50	39	38	211	5	100
11/02/2015 00:10	35	50	44	37	19	185	5	100
11/02/2015 00:15	29	42	39	36	35	181	5	100
11/02/2015 00:20	20	31	38	29	25	143	5	100
11/02/2015 00:25	28	41	32	34	20	155	5	100
11/02/2015 00:30	26	41	28	29	16	140	5	100
11/02/2015 00:35	27	39	38	27	31	162	5	100
11/02/2015 00:40	18	30	33	32	23	136	5	100
11/02/2015 00:45	19	24	26	24	18	111	5	100
11/02/2015 00:50	17	33	28	29	19	126	5	100
11/02/2015 00:55	21	23	30	25	23	122	5	100
11/02/2015 01:00	21	27	26	24	19	117	5	100
11/02/2015 01:05	20	20	19	17	20	96	5	100
11/02/2015 01:10	11	19	22	19	14	85	5	100
11/02/2015 01:15	15	22	19	18	11	85	5	100
11/02/2015 01:20	14	19	22	16	18	89	5	100
11/02/2015 01:25	8	11	13	19	19	70	5	100
11/02/2015 01:30	7	22	19	23	10	81	5	100
11/02/2015 01:35	12	24	15	16	16	83	5	100
11/02/2015 01:40	12	15	20	12	9	68	5	100
11/02/2015 01:45	13	17	20	18	10	78	5	100
11/02/2015 01:50	9	16	26	19	14	84	5	100
11/02/2015 01:55	10	14	14	17	9	64	5	100
11/02/2015 02:00	8	24	17	18	12	79	5	100
11/02/2015 02:05	4	10	14	11	13	52	5	100
11/02/2015 02:10	7	19	8	16	11	61	5	100
11/02/2015 02:15	9	21	19	19	10	78	5	100
11/02/2015 02:20	10	15	19	13	11	68	5	100
11/02/2015 02:25	10	18	15	17	5	65	5	100
11/02/2015 02:30	8	16	9	19	13	65	5	100
11/02/2015 02:35	4	15	18	15	10	62	5	100
11/02/2015 02:40	10	21	19	14	14	78	5	100
11/02/2015 02:45	5	8	13	12	7	45	5	100
11/02/2015 02:50	12	16	15	8	14	65	5	100
11/02/2015 02:55	11	15	16	22	6	70	5	100
11/02/2015 03:00	8	17	15	14	4	58	5	100
11/02/2015 03:05	7	17	25	13	9	71	5	100
11/02/2015 03:10	17	26	21	23	11	98	5	100
11/02/2015 03:15	13	18	21	13	9	74	5	100
11/02/2015 03:20	14	23	17	16	8	78	5	100
11/02/2015 03:25	8	15	25	14	6	68	5	100
11/02/2015 03:30	14	14	20	10	11	69	5	100
11/02/2015 03:35	17	27	20	23	9	96	5	100
11/02/2015 03:40	17	27	26	24	11	105	5	100
11/02/2015 03:45	22	27	30	21	13	113	5	100
11/02/2015 03:50	30	36	29	29	13	137	5	100
11/02/2015 03:55	16	33	27	20	7	103	5	100
11/02/2015 04:00	20	33	37	21	8	119	5	100
11/02/2015 04:05	37	30	31	26	7	131	5	100
11/02/2015 04:10	26	43	36	23	12	140	5	100
11/02/2015 04:15	41	48	41	28	15	173	5	100
11/02/2015 04:20	35	51	39	36	21	182	5	100
11/02/2015 04:25	53	58	52	40	24	227	5	100
11/02/2015 04:30	49	50	51	39	15	204	5	100
11/02/2015 04:35	51	66	58	38	30	243	5	100
11/02/2015 04:40	86	78	68	52	28	312	5	100
11/02/2015 04:45	71	74	62	49	37	293	5	100
11/02/2015 04:50	77	80	66	55	33	311	5	100
11/02/2015 04:55	71	78	67	55	29	300	5	100
11/02/2015 05:00	79	74	65	50	33	301	5	100
11/02/2015 05:05	101	86	63	59	39	348	5	100
11/02/2015 05:10	94	84	82	64	39	363	5	100
11/02/2015 05:15	111	105	87	72	48	423	5	100
11/02/2015 05:20	146	127	110	88	57	528	5	100
11/02/2015 05:25	131	118	98	83	61	491	5	100
11/02/2015 05:30	132	116	91	98	62	499	5	100
11/02/2015 05:35	156	147	125	102	64	594	5	100
11/02/2015 05:40	148	137	116	103	78	582	5	100
11/02/2015 05:45	161	142	125	107	76	611	5	100
11/02/2015 05:50	149	137	116	109	89	600	5	100
11/02/2015 05:55	166	140	117	110	88	621	5	100
11/02/2015 06:00	164	150	106	94	87	601	5	100
11/02/2015 06:05	127	123	110	103	74	537	5	100
11/02/2015 06:10	156	150	126	107	66	605	5	100
11/02/2015 06:15	141	141	113	99	75	569	5	100
11/02/2015 06:20	148	130	121	89	84	572	5	100
11/02/2015 06:25	144	151	116	96	75	582	5	100
11/02/2015 06:30	138	128	107	97	74	544	5	100
11/02/2015 06:35	159	134	113	101	84	591	5	100
11/02/2015 06:40	158	149	137	102	83	629	5	100
11/02/2015 06:45	145	141	112	101	87	586	5	100
11/02/2015 06:50	142	133	120	101	77	573	5	100
11/02/2015 06:55	146	123	124	87	82	562	5	100
11/02/2015 07:00	165	150	132	118	79	644	5	100
11/02/2015 07:05	160	145	128	113	84	630	5	100
11/02/2015 07:10	169	151	129	123	76	648	5	100
11/02/2015 07:15	164	163	150	116	101	694	5	100
11/02/2015 07:20	184	182	151	128	116	761	5	100
11/02/2015 07:25	175	160	144	123	122	724	5	100
11/02/2015 07:30	181	181	149	134	117	762	5	100
11/02/2015 07:35	173	167	154	132	119	745	5	100
11/02/2015 07:40	165	154	144	113	111	687	5	100
11/02/2015 07:45	173	159	159	138	136	765	5	100
11/02/2015 07:50	185	165	157	139	133	779	5	100
11/02/2015 07:55	165	170	130	135	122	722	5	100
11/02/2015 08:00	187	171	159	143	138	798	5	100
11/02/2015 08:05	162	166	143	139	130	740	5	100
11/02/2015 08:10	133	136	131	143	153	696	5	100
11/02/2015 08:15	150	153	138	146	146	733	5	100
11/02/2015 08:20	156	157	148	136	139	736	5	100
11/02/2015 08:25	155	158	143	138	129	723	5	100
11/02/2015 08:30	175	157	128	136	129	725	5	100
11/02/2015 08:35	188	154	138	132	111	723	5	100
11/02/2015 08:40	164	169	140	136	122	731	5	100
11/02/2015 08:45	168	148	150	134	124	724	5	100
11/02/2015 08:50	150	147	148	141	126	712	5	100
11/02/2015 08:55	166	157	150	135	118	726	5	100
11/02/2015 09:00	148	144	138	139	107	676	5	100
11/02/2015 09:05	152	152	138	146	96	684	5	100
11/02/2015 09:10	150	141	140	126	104	661	5	100
11/02/2015 09:15	165	163	148	121	121	718	5	100
11/02/2015 09:20	158	149	149	152	111	719	5	100
11/02/2015 09:25	173	161	138	131	118	721	5	100
11/02/2015 09:30	174	154	143	134	102	707	5	100
11/02/2015 09:35	163	161	146	138	112	720	5	100
11/02/2015 09:40	168	180	145	146	104	743	5	100
11/02/2015 09:45	152	153	142	118	127	692	5	100
11/02/2015 09:50	149	149	131	130	112	671	5	100
11/02/2015 09:55	167	155	145	129	123	719	5	100
11/02/2015 10:00	167	147	144	119	119	696	5	100
11/02/2015 10:05	151	151	148	124	123	697	5	100
11/02/2015 10:10	149	158	141	111	113	672	5	100
11/02/2015 10:15	161	154	138	129	101	683	5	100
11/02/2015 10:20	162	170	136	132	118	718	5	100
11/02/2015 10:25	146	147	125	116	114	648	5	100
11/02/2015 10:30	145	155	132	127	108	667	5	100
11/02/2015 10:35	164	136	138	114	106	658	5	100
11/02/2015 10:40	166	162	134	133	127	722	5	100
11/02/2015 10:45	176	147	142	116	98	679	5	100
11/02/2015 10:50	147	144	123	115	10	539	5	100
11/02/2015 10:55	157	156	139	128	25	605	5	100
11/02/2015 11:00	144	154	127	133	78	636	5	100
11/02/2015 11:05	180	153	138	126	109	706	5	100
11/02/2015 11:10	161	163	135	122	121	702	5	100
11/02/2015 11:15	169	173	133	143	133	751	5	100
11/02/2015 11:20	169	161	137	132	133	732	5	100
11/02/2015 11:25	153	172	141	125	115	706	5	100
11/02/2015 11:30	164	150	130	128	127	699	5	100
11/02/2015 11:35	162	154	134	134	131	715	5	100
11/02/2015 11:40	150	159	149	123	129	710	5	100
11/02/2015 11:45	169	170	137	135	126	737	5	100
11/02/2015 11:50	154	166	141	133	138	732	5	100
11/02/2015 11:55	162	160	128	122	138	710	5	100
11/02/2015 12:00	157	148	127	128	108	668	5	100
11/02/2015 12:05	146	154	140	128	129	697	5	100
11/02/2015 12:10	171	136	127	133	139	706	5	100
11/02/2015 12:15	163	146	142	139	124	714	5	100
11/02/2015 12:20	171	159	137	132	132	731	5	100
11/02/2015 12:25	184	156	132	139	142	753	5	100
11/02/2015 12:30	185	160	145	144	141	775	5	100
11/02/2015 12:35	176	164	141	139	141	761	5	100
11/02/2015 12:40	151	165	138	144	128	726	5	100
11/02/2015 12:45	179	167	144	136	129	755	5	100
11/02/2015 12:50	170	152	146	133	133	734	5	100
11/02/2015 12:55	187	168	139	119	133	746	5	100
11/02/2015 13:00	100	118	111	128	140	597	5	100
11/02/2015 13:05	101	108	114	124	137	584	5	100
11/02/2015 13:10	75	70	70	91	124	430	5	100
11/02/2015 13:15	92	105	102	111	123	533	5	100
11/02/2015 13:20	121	120	116	119	146	622	5	100
11/02/2015 13:25	103	122	119	105	149	598	5	100
11/02/2015 13:30	116	129	114	126	153	638	5	100
11/02/2015 13:35	127	131	122	128	150	658	5	100
11/02/2015 13:40	112	120	117	122	144	615	5	100
11/02/2015 13:45	115	117	121	117	140	610	5	100
11/02/2015 13:50	113	114	111	128	131	597	5	100
11/02/2015 13:55	126	128	123	122	155	654	5	100
11/02/2015 14:00	116	122	121	120	144	623	5	100
11/02/2015 14:05	113	122	112	109	131	587	5	100
11/02/2015 14:10	125	131	122	127	142	647	5	100
11/02/2015 14:15	139	146	121	129	150	685	5	100
11/02/2015 14:20	142	138	130	116	153	679	5	100
11/02/2015 14:25	110	120	124	131	139	624	5	100
11/02/2015 14:30	144	138	126	130	154	692	5	100
11/02/2015 14:35	124	138	129	133	160	684	5	100
11/02/2015 14:40	124	131	120	132	157	664	5	100
11/02/2015 14:45	142	131	125	128	148	674	5	100
11/02/2015 14:50	138	128	127	123	150	666	5	100
11/02/2015 14:55	137	146	132	136	141	692	5	100
11/02/2015 15:00	117	131	124	133	154	659	5	100
11/02/2015 15:05	153	141	130	138	146	708	5	100
11/02/2015 15:10	120	119	121	124	134	618	5	100
11/02/2015 15:15	128	142	119	128	153	670	5	100
11/02/2015 15:20	132	131	124	135	160	682	5	100
11/02/2015 15:25	99	113	111	130	146	599	5	100
11/02/2015 15:30	97	105	112	127	141	582	5	100
11/02/2015 15:35	109	108	123	126	144	610	5	100
11/02/2015 15:40	104	110	112	125	144	595	5	100
11/02/2015 15:45	131	136	134	135	147	683	5	100
11/02/2015 15:50	94	114	114	124	156	602	5	100
11/02/2015 15:55	123	134	114	131	141	643	5	100
11/02/2015 16:00	80	102	107	103	128	520	5	100
11/02/2015 16:05	111	122	119	123	146	621	5	100
11/02/2015 16:10	100	123	122	132	155	632	5	100
11/02/2015 16:15	105	109	112	126	144	596	5	100
11/02/2015 16:20	70	82	98	102	142	494	5	100
11/02/2015 16:25	66	86	77	95	116	440	5	100
