5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/02/2015 00:00	38	44	38	25	35	180	5	80
11/02/2015 00:05	37	36	29	28	32	162	5	80
11/02/2015 00:10	44	40	32	24	32	172	5	80
11/02/2015 00:15	29	38	29	28	32	156	5	80
11/02/2015 00:20	21	27	20	24	29	121	5	80
11/02/2015 00:25	31	35	35	21	35	157	5	80
11/02/2015 00:30	18	31	27	18	29	123	5	80
11/02/2015 00:35	27	35	34	25	33	154	5	80
11/02/2015 00:40	15	16	17	22	27	97	5	80
11/02/2015 00:45	21	30	19	17	25	112	5	80
11/02/2015 00:50	22	23	20	14	25	104	5	80
11/02/2015 00:55	17	24	28	13	30	112	5	80
11/02/2015 01:00	17	18	20	16	25	96	5	80
11/02/2015 01:05	20	22	16	21	25	104	5	80
11/02/2015 01:10	14	17	26	15	27	99	5	80
11/02/2015 01:15	16	15	16	10	22	79	5	80
11/02/2015 01:20	10	15	12	6	20	63	5	80
11/02/2015 01:25	8	20	13	13	22	76	5	80
11/02/2015 01:30	10	17	12	17	23	79	5	80
11/02/2015 01:35	12	22	13	10	21	78	5	80
11/02/2015 01:40	8	18	10	7	19	62	5	80
11/02/2015 01:45	7	15	16	8	22	68	5	80
11/02/2015 01:50	8	14	12	13	21	68	5	80
11/02/2015 01:55	9	9	7	12	21	58	5	80
11/02/2015 02:00	8	12	11	13	21	65	5	80
11/02/2015 02:05	7	14	14	9	21	65	5	80
11/02/2015 02:10	5	8	7	10	19	49	5	80
11/02/2015 02:15	11	13	9	8	20	61	5	80
11/02/2015 02:20	8	12	14	14	22	70	5	80
11/02/2015 02:25	5	8	9	18	23	63	5	80
11/02/2015 02:30	11	14	10	12	21	68	5	80
11/02/2015 02:35	7	12	15	9	21	64	5	80
11/02/2015 02:40	5	14	11	11	20	61	5	80
11/02/2015 02:45	5	17	13	14	22	71	5	80
11/02/2015 02:50	6	12	15	14	23	70	5	80
11/02/2015 02:55	10	10	20	14	25	79	5	80
11/02/2015 03:00	8	18	17	15	24	82	5	80
11/02/2015 03:05	9	18	14	16	23	80	5	80
11/02/2015 03:10	5	7	12	12	21	57	5	80
11/02/2015 03:15	6	13	10	8	20	57	5	80
11/02/2015 03:20	7	15	14	11	21	68	5	80
11/02/2015 03:25	8	16	15	12	22	73	5	80
11/02/2015 03:30	9	19	10	17	23	78	5	80
11/02/2015 03:35	11	17	11	9	20	68	5	80
11/02/2015 03:40	16	17	20	17	25	95	5	80
11/02/2015 03:45	10	25	14	14	22	85	5	80
11/02/2015 03:50	5	21	15	17	25	83	5	80
11/02/2015 03:55	10	19	18	18	26	91	5	80
11/02/2015 04:00	11	24	24	17	26	102	5	80
11/02/2015 04:05	14	22	22	14	26	98	5	80
11/02/2015 04:10	14	31	21	23	28	117	5	80
11/02/2015 04:15	17	29	29	19	30	124	5	80
11/02/2015 04:20	23	32	28	23	30	136	5	80
11/02/2015 04:25	26	29	23	24	29	131	5	80
11/02/2015 04:30	33	47	37	29	35	181	5	80
11/02/2015 04:35	43	42	35	40	5	165	5	80
11/02/2015 04:40	34	47	32	37	1	151	5	80
11/02/2015 04:45	33	37	36	34	1	141	5	80
11/02/2015 04:50	59	50	35	34	1	179	5	80
11/02/2015 04:55	45	51	38	40	5	179	5	80
11/02/2015 05:00	50	46	44	36	2	178	5	80
11/02/2015 05:05	56	58	46	35	2	197	5	80
11/02/2015 05:10	65	70	58	47	5	245	5	80
11/02/2015 05:15	73	81	60	54	10	278	5	80
11/02/2015 05:20	85	84	61	58	10	298	5	80
11/02/2015 05:25	119	95	65	58	10	347	5	80
11/02/2015 05:30	115	105	82	73	17	392	5	80
11/02/2015 05:35	107	96	92	71	18	384	5	80
11/02/2015 05:40	144	129	93	94	31	491	5	80
11/02/2015 05:45	149	121	101	76	21	468	5	80
11/02/2015 05:50	141	136	82	83	21	463	5	80
11/02/2015 05:55	176	141	112	85	26	540	5	80
11/02/2015 06:00	175	140	111	94	28	548	5	80
11/02/2015 06:05	213	168	116	97	30	624	5	80
11/02/2015 06:10	202	170	125	104	32	633	5	80
11/02/2015 06:15	197	171	122	108	36	634	5	80
11/02/2015 06:20	208	160	122	122	43	655	5	80
11/02/2015 06:25	199	153	133	148	51	684	5	80
11/02/2015 06:30	163	154	113	120	43	593	5	80
11/02/2015 06:35	127	127	120	126	45	545	5	80
11/02/2015 06:40	87	90	92	93	41	403	5	80
11/02/2015 06:45	87	91	86	100	34	398	5	80
11/02/2015 06:50	74	86	94	83	26	363	5	80
11/02/2015 06:55	105	93	91	107	35	431	5	80
11/02/2015 07:00	159	151	148	157	59	674	5	80
11/02/2015 07:05	182	160	136	157	63	698	5	80
11/02/2015 07:10	172	156	142	154	58	682	5	80
11/02/2015 07:15	191	174	142	168	65	740	5	80
11/02/2015 07:20	196	163	143	142	57	701	5	80
11/02/2015 07:25	191	165	157	174	67	754	5	80
11/02/2015 07:30	209	168	159	170	70	776	5	80
11/02/2015 07:35	196	162	142	173	69	742	5	80
11/02/2015 07:40	178	165	131	144	60	678	5	80
11/02/2015 07:45	171	165	140	167	63	706	5	80
11/02/2015 07:50	170	154	136	127	47	634	5	80
11/02/2015 07:55	170	141	130	146	55	642	5	80
11/02/2015 08:00	171	140	108	133	45	597	5	80
11/02/2015 08:05	158	149	109	137	50	603	5	80
11/02/2015 08:10	157	150	125	119	41	592	5	80
11/02/2015 08:15	182	146	136	143	53	660	5	80
11/02/2015 08:20	170	139	134	134	48	625	5	80
11/02/2015 08:25	163	131	128	148	50	620	5	80
11/02/2015 08:30	176	147	123	147	56	649	5	80
11/02/2015 08:35	178	141	142	144	53	658	5	80
11/02/2015 08:40	168	160	128	139	50	645	5	80
11/02/2015 08:45	169	150	138	132	50	639	5	80
11/02/2015 08:50	164	168	140	145	53	670	5	80
11/02/2015 08:55	161	134	122	123	44	584	5	80
11/02/2015 09:00	147	138	113	127	41	566	5	80
11/02/2015 09:05	140	131	111	108	33	523	5	80
11/02/2015 09:10	163	128	121	115	39	566	5	80
11/02/2015 09:15	150	143	114	113	37	557	5	80
11/02/2015 09:20	141	122	105	111	39	518	5	80
11/02/2015 09:25	167	128	110	129	44	578	5	80
11/02/2015 09:30	160	129	97	110	39	535	5	80
11/02/2015 09:35	153	126	102	116	38	535	5	80
11/02/2015 09:40	146	134	108	97	30	515	5	80
11/02/2015 09:45	160	128	102	106	37	533	5	80
11/02/2015 09:50	136	130	99	97	32	494	5	80
11/02/2015 09:55	145	115	96	97	28	481	5	80
11/02/2015 10:00	148	119	88	98	30	483	5	80
11/02/2015 10:05	143	120	92	100	28	483	5	80
11/02/2015 10:10	138	147	101	110	35	531	5	80
11/02/2015 10:15	149	139	99	114	41	542	5	80
11/02/2015 10:20	123	127	94	97	33	474	5	80
11/02/2015 10:25	155	122	101	103	35	516	5	80
11/02/2015 10:30	125	122	98	99	35	479	5	80
11/02/2015 10:35	135	123	107	108	32	505	5	80
11/02/2015 10:40	132	122	101	104	37	496	5	80
11/02/2015 10:45	128	117	100	86	25	456	5	80
11/02/2015 10:50	155	127	108	118	39	547	5	80
11/02/2015 10:55	127	138	100	98	33	496	5	80
11/02/2015 11:00	133	120	101	93	34	481	5	80
11/02/2015 11:05	144	109	104	98	30	485	5	80
11/02/2015 11:10	162	139	110	109	35	555	5	80
11/02/2015 11:15	140	141	102	112	36	531	5	80
11/02/2015 11:20	134	130	108	116	38	526	5	80
11/02/2015 11:25	158	147	102	102	31	540	5	80
11/02/2015 11:30	150	126	107	116	38	537	5	80
11/02/2015 11:35	156	130	109	117	37	549	5	80
11/02/2015 11:40	157	141	99	116	41	554	5	80
11/02/2015 11:45	157	133	102	116	41	549	5	80
11/02/2015 11:50	143	122	117	112	35	529	5	80
11/02/2015 11:55	138	134	93	95	33	493	5	80
11/02/2015 12:00	137	129	94	107	33	500	5	80
11/02/2015 12:05	151	133	114	113	39	550	5	80
11/02/2015 12:10	151	149	101	119	40	560	5	80
11/02/2015 12:15	152	134	120	123	45	574	5	80
11/02/2015 12:20	169	136	118	128	47	598	5	80
11/02/2015 12:25	170	153	107	106	32	568	5	80
11/02/2015 12:30	155	140	109	115	37	556	5	80
11/02/2015 12:35	151	125	99	109	36	520	5	80
11/02/2015 12:40	154	133	107	122	40	556	5	80
11/02/2015 12:45	170	121	109	118	38	556	5	80
11/02/2015 12:50	157	130	101	115	38	541	5	80
11/02/2015 12:55	157	136	101	97	36	527	5	80
11/02/2015 13:00	160	142	112	117	38	569	5	80
11/02/2015 13:05	144	132	104	121	44	545	5	80
11/02/2015 13:10	139	123	95	118	43	518	5	80
11/02/2015 13:15	127	112	105	119	41	504	5	80
11/02/2015 13:20	139	148	119	116	41	563	5	80
11/02/2015 13:25	166	134	128	129	50	607	5	80
11/02/2015 13:30	172	148	129	127	45	621	5	80
11/02/2015 13:35	169	156	128	127	46	626	5	80
11/02/2015 13:40	157	153	120	123	43	596	5	80
11/02/2015 13:45	165	146	134	134	48	627	5	80
11/02/2015 13:50	170	159	124	131	49	633	5	80
11/02/2015 13:55	178	149	131	118	39	615	5	80
11/02/2015 14:00	151	135	116	132	44	578	5	80
11/02/2015 14:05	189	169	136	134	52	680	5	80
11/02/2015 14:10	171	145	134	150	58	658	5	80
11/02/2015 14:15	166	161	132	127	47	633	5	80
11/02/2015 14:20	173	143	117	128	46	607	5	80
11/02/2015 14:25	181	159	139	137	48	664	5	80
11/02/2015 14:30	183	164	146	127	45	665	5	80
11/02/2015 14:35	166	150	146	126	48	636	5	80
11/02/2015 14:40	189	162	140	150	60	701	5	80
11/02/2015 14:45	176	168	143	150	58	695	5	80
11/02/2015 14:50	183	166	137	155	60	701	5	80
11/02/2015 14:55	184	179	140	150	61	714	5	80
11/02/2015 15:00	169	146	126	141	52	634	5	80
11/02/2015 15:05	183	146	132	135	49	645	5	80
11/02/2015 15:10	167	163	146	154	58	688	5	80
11/02/2015 15:15	183	165	155	140	54	697	5	80
11/02/2015 15:20	171	151	117	132	54	625	5	80
11/02/2015 15:25	146	139	131	136	48	600	5	80
11/02/2015 15:30	148	149	138	137	52	624	5	80
11/02/2015 15:35	156	147	133	149	57	642	5	80
11/02/2015 15:40	168	142	138	160	62	670	5	80
11/02/2015 15:45	175	160	141	162	66	704	5	80
11/02/2015 15:50	169	160	161	157	64	711	5	80
11/02/2015 15:55	173	156	134	144	58	665	5	80
11/02/2015 16:00	155	126	118	121	45	565	5	80
11/02/2015 16:05	136	145	127	137	53	598	5	80
11/02/2015 16:10	161	152	139	142	57	651	5	80
11/02/2015 16:15	137	133	131	122	51	574	5	80
11/02/2015 16:20	155	154	150	143	56	658	5	80
11/02/2015 16:25	143	141	138	131	53	606	5	80
11/02/2015 16:30	151	139	139	137	52	618	5	80
11/02/2015 16:35	155	155	140	137	54	641	5	80
11/02/2015 16:40	140	156	135	157	60	648	5	80
11/02/2015 16:45	159	163	144	146	58	670	5	80
11/02/2015 16:50	142	127	127	134	54	584	5	80
11/02/2015 16:55	149	141	131	148	58	627	5	80
11/02/2015 17:00	151	134	140	140	56	621	5	80
11/02/2015 17:05	143	147	134	136	54	614	5	80
11/02/2015 17:10	138	131	117	127	49	562	5	80
11/02/2015 17:15	146	139	126	132	55	598	5	80
11/02/2015 17:20	139	126	132	121	50	568	5	80
11/02/2015 17:25	120	118	113	110	42	503	5	80
11/02/2015 17:30	129	124	119	115	46	533	5	80
11/02/2015 17:35	153	143	125	128	50	599	5	80
11/02/2015 17:40	123	125	110	115	44	517	5	80
11/02/2015 17:45	139	140	126	135	50	590	5	80
11/02/2015 17:50	152	143	132	127	52	606	5	80
11/02/2015 17:55	122	124	113	117	49	525	5	80
11/02/2015 18:00	125	126	128	125	50	554	5	80
11/02/2015 18:05	138	124	115	118	44	539	5	80
11/02/2015 18:10	141	131	131	126	52	581	5	80
11/02/2015 18:15	133	122	124	118	47	544	5	80
11/02/2015 18:20	130	127	119	128	48	552	5	80
11/02/2015 18:25	146	137	118	144	57	602	5	80
11/02/2015 18:30	152	154	128	126	47	607	5	80
11/02/2015 18:35	148	146	132	125	47	598	5	80
11/02/2015 18:40	153	147	130	125	50	605	5	80
11/02/2015 18:45	138	122	119	112	40	531	5	80
11/02/2015 18:50	151	148	139	132	51	621	5	80
11/02/2015 18:55	161	137	133	117	44	592	5	80
11/02/2015 19:00	160	135	129	123	43	590	5	80
11/02/2015 19:05	160	145	127	106	38	576	5	80
11/02/2015 19:10	153	135	119	118	44	569	5	80
11/02/2015 19:15	155	150	123	111	43	582	5	80
11/02/2015 19:20	158	136	103	110	39	546	5	80
11/02/2015 19:25	128	124	105	90	30	477	5	80
11/02/2015 19:30	126	121	93	104	38	482	5	80
11/02/2015 19:35	101	99	98	98	29	425	5	80
11/02/2015 19:40	120	108	98	103	34	463	5	80
11/02/2015 19:45	118	111	96	89	31	445	5	80
11/02/2015 19:50	114	104	77	86	27	408	5	80
11/02/2015 19:55	138	113	97	100	34	482	5	80
11/02/2015 20:00	136	111	99	97	31	474	5	80
11/02/2015 20:05	135	115	80	103	35	468	5	80
11/02/2015 20:10	122	109	102	90	27	450	5	80
11/02/2015 20:15	112	93	87	66	20	378	5	80
11/02/2015 20:20	124	98	82	81	19	404	5	80
11/02/2015 20:25	110	110	81	71	19	391	5	80
11/02/2015 20:30	118	102	84	70	18	392	5	80
