5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/02/2015 00:00	40	40	32	10	122	4	75
11/02/2015 00:05	29	33	36	10	108	4	75
11/02/2015 00:10	31	40	32	30	133	4	75
11/02/2015 00:15	38	34	29	31	132	4	75
11/02/2015 00:20	20	25	21	27	93	4	75
11/02/2015 00:25	26	40	27	11	104	4	75
11/02/2015 00:30	26	41	26	11	104	4	75
11/02/2015 00:35	21	35	22	12	90	4	75
11/02/2015 00:40	14	18	17	22	71	4	75
11/02/2015 00:45	23	24	25	27	99	4	75
11/02/2015 00:50	23	24	21	24	92	4	75
11/02/2015 00:55	22	16	20	10	68	4	75
11/02/2015 01:00	18	22	21	9	70	4	75
11/02/2015 01:05	14	19	15	20	68	4	75
11/02/2015 01:10	13	24	20	11	68	4	75
11/02/2015 01:15	12	18	10	22	62	4	75
11/02/2015 01:20	12	19	11	18	60	4	75
11/02/2015 01:25	5	13	11	19	48	4	75
11/02/2015 01:30	11	14	19	23	67	4	75
11/02/2015 01:35	11	13	16	20	60	4	75
11/02/2015 01:40	11	21	14	20	66	4	75
11/02/2015 01:45	5	13	6	18	42	4	75
11/02/2015 01:50	8	11	17	22	58	4	75
11/02/2015 01:55	6	13	9	18	46	4	75
11/02/2015 02:00	11	9	7	10	37	4	75
11/02/2015 02:05	8	17	9	10	44	4	75
11/02/2015 02:10	6	8	10	17	41	4	75
11/02/2015 02:15	9	9	7	8	33	4	75
11/02/2015 02:20	6	10	12	18	46	4	75
11/02/2015 02:25	9	9	10	11	39	4	75
11/02/2015 02:30	8	11	9	18	46	4	75
11/02/2015 02:35	6	9	14	22	51	4	75
11/02/2015 02:40	5	15	13	20	53	4	75
11/02/2015 02:45	3	17	10	20	50	4	75
11/02/2015 02:50	8	10	11	20	49	4	75
11/02/2015 02:55	6	14	13	22	55	4	75
11/02/2015 03:00	10	15	18	23	66	4	75
11/02/2015 03:05	12	11	14	10	47	4	75
11/02/2015 03:10	7	15	12	22	56	4	75
11/02/2015 03:15	5	11	9	20	45	4	75
11/02/2015 03:20	8	16	13	7	44	4	75
11/02/2015 03:25	10	15	13	20	58	4	75
11/02/2015 03:30	10	16	11	23	60	4	75
11/02/2015 03:35	9	17	15	22	63	4	75
11/02/2015 03:40	17	23	15	21	76	4	75
11/02/2015 03:45	10	18	15	23	66	4	75
11/02/2015 03:50	14	24	14	20	72	4	75
11/02/2015 03:55	7	18	15	23	63	4	75
11/02/2015 04:00	14	21	16	10	61	4	75
11/02/2015 04:05	15	19	18	24	76	4	75
11/02/2015 04:10	11	26	23	26	86	4	75
11/02/2015 04:15	20	33	26	8	87	4	75
11/02/2015 04:20	23	33	27	31	114	4	75
11/02/2015 04:25	30	37	32	31	130	4	75
11/02/2015 04:30	28	40	23	30	121	4	75
11/02/2015 04:35	35	41	41	14	131	4	75
11/02/2015 04:40	53	44	32	12	141	4	75
11/02/2015 04:45	36	39	40	11	126	4	75
11/02/2015 04:50	46	43	33	15	137	4	75
11/02/2015 04:55	54	60	37	16	167	4	75
11/02/2015 05:00	42	57	32	15	146	4	75
11/02/2015 05:05	51	57	43	15	166	4	75
11/02/2015 05:10	67	83	53	13	216	4	75
11/02/2015 05:15	70	79	59	14	222	4	75
11/02/2015 05:20	94	88	61	17	260	4	75
11/02/2015 05:25	111	95	65	16	287	4	75
