5 Minutes	Lane 1 Occ (%)	Lane 2 Occ (%)	Lane 3 Occ (%)	Lane 4 Occ (%)	Lane 5 Occ (%)	Lane 6 Occ (%)	Occupancy (%)	# Lane Points	% Observed
11/09/2015 00:00	2.1	1.97	1.94	4.63	2.61	.57	2.3	6	100
11/09/2015 00:05	1.6	1.92	3.39	3.24	3.16	.23	2.26	6	100
11/09/2015 00:10	1.97	2.35	2.79	4.12	2.91	.12	2.38	6	100
11/09/2015 00:15	1.43	1.88	2.47	3.96	2.81	.53	2.18	6	100
11/09/2015 00:20	1.42	1.96	2.22	2.9	1.74	.62	1.81	6	100
11/09/2015 00:25	2.08	2.2	2.24	3.03	2.54	.44	2.09	6	100
11/09/2015 00:30	1.77	2.56	2.15	2.96	1.74	.4	1.93	6	100
11/09/2015 00:35	1.06	1.78	1.66	2.71	1.67	.46	1.56	6	100
11/09/2015 00:40	.84	1.69	1.01	2.44	2	.47	1.41	6	100
11/09/2015 00:45	.94	1.99	1.65	2.76	1.93	.45	1.62	6	100
11/09/2015 00:50	.61	.97	1.94	2.5	1.33	.64	1.33	6	100
11/09/2015 00:55	1.17	1.6	1.49	1.8	1.44	.43	1.32	6	100
11/09/2015 01:00	.98	1.08	1.13	1.13	.98	.69	1	6	0
11/09/2015 01:05	.98	1.08	1.13	1.13	.98	.69	1	6	0
11/09/2015 01:10	.97	1.07	1.12	1.12	.97	.68	.99	6	0
11/09/2015 01:15	.49	.9	2.32	3.32	1.02	.79	1.47	6	100
11/09/2015 01:20	.94	1.24	1.02	1.31	.6	.13	.87	6	100
11/09/2015 01:25	.98	1.12	1.44	2.29	1.12	.1	1.18	6	100
11/09/2015 01:30	.52	.8	1.39	2.05	1.07	.41	1.04	6	100
11/09/2015 01:35	.71	.97	.57	2.06	.77	.13	.87	6	100
11/09/2015 01:40	1.02	1.87	1.55	2.69	1.76	.13	1.5	6	100
11/09/2015 01:45	.57	1.77	1	1.78	1.23	.56	1.15	6	100
11/09/2015 01:50	.68	.68	1.12	.92	.85	.28	.76	6	100
11/09/2015 01:55	.73	1.23	.8	1.32	.97	0	.84	6	100
11/09/2015 02:00	.44	.79	.29	2.77	1.56	.21	1.01	6	100
11/09/2015 02:05	.5	.61	1.09	3.32	.86	0	1.06	6	100
11/09/2015 02:10	.42	.74	.76	1.37	.9	.1	.72	6	100
11/09/2015 02:15	.39	1.34	.74	3.3	1.26	.17	1.2	6	100
11/09/2015 02:20	.42	.9	.65	1.02	.52	.27	.63	6	100
11/09/2015 02:25	.53	.84	2.61	2.54	1.05	0	1.26	6	100
11/09/2015 02:30	.21	.72	.45	1.19	.83	0	.57	6	100
11/09/2015 02:35	.33	.84	1.29	1.64	1.6	0	.95	6	100
11/09/2015 02:40	.4	.94	1.19	2.24	.71	0	.91	6	100
11/09/2015 02:45	.48	.86	.31	.68	.89	.13	.56	6	100
11/09/2015 02:50	1.13	.93	1.23	1.76	.76	.29	1.02	6	100
11/09/2015 02:55	.71	.97	1.44	1.79	.43	.13	.91	6	100
11/09/2015 03:00	.86	1.09	1.13	1.98	1.56	.45	1.18	6	100
11/09/2015 03:05	.67	1.37	1.03	1.42	.58	0	.85	6	100
11/09/2015 03:10	.67	1.17	.74	2.3	.48	.1	.91	6	100
11/09/2015 03:15	.88	1.17	.87	1.02	.72	.11	.8	6	100
11/09/2015 03:20	1.06	1.06	.67	1.06	.35	.13	.72	6	100
11/09/2015 03:25	1.02	1.37	1.28	.5	.84	.25	.88	6	100
11/09/2015 03:30	1.19	1.48	2.29	2.1	1.6	.51	1.53	6	100
11/09/2015 03:35	1.39	2.38	2.33	2.52	1.75	.45	1.8	6	100
11/09/2015 03:40	1.21	1.64	1.52	2.88	1.03	.29	1.43	6	100
11/09/2015 03:45	1.34	1.56	1.05	1.74	1.07	.18	1.16	6	100
11/09/2015 03:50	1.72	2.34	3.01	3.39	.89	.24	1.93	6	100
11/09/2015 03:55	1.64	2.61	3.05	3.02	1.94	.13	2.07	6	100
11/09/2015 04:00	1.8	2.33	3.45	3.53	1.28	0	2.07	6	100
11/09/2015 04:05	1.85	2.52	2.94	2.45	1.43	.34	1.92	6	100
11/09/2015 04:10	1.98	2.41	2.75	2.99	2.2	0	2.05	6	100
11/09/2015 04:15	3.5	3.25	4.15	5.25	1.46	.11	2.95	6	100
11/09/2015 04:20	2.29	3.37	4.37	4.21	1.98	.52	2.79	6	100
11/09/2015 04:25	4.03	4.06	3.68	5.12	1.56	.51	3.16	6	100
11/09/2015 04:30	4.28	3.76	3.27	4.03	2.45	.41	3.03	6	100
11/09/2015 04:35	5.33	5.87	4.3	5.02	3.5	.77	4.13	6	100
11/09/2015 04:40	5.64	4.58	4.55	6.42	4.4	.51	4.35	6	100
11/09/2015 04:45	4.31	5.36	4.61	5.27	3.13	.69	3.89	6	100
11/09/2015 04:50	5.87	4.92	4.67	5.71	4.5	.54	4.37	6	100
11/09/2015 04:55	4.7	4.92	4.37	5.7	4.29	.72	4.12	6	100
11/09/2015 05:00	6.74	6.02	6.04	7.31	4.83	.36	5.22	6	100
11/09/2015 05:05	7.25	5.92	6.66	7.35	4.43	1	5.44	6	100
11/09/2015 05:10	6.35	6.81	5.67	6.75	6.35	2.32	5.71	6	100
11/09/2015 05:15	8.05	7.42	5.77	6.53	5.6	1.37	5.79	6	100
11/09/2015 05:20	10.48	9.45	7.86	22.41	8.88	1.44	10.09	6	100
11/09/2015 05:25	9.33	7.97	6.49	10.64	8.5	2.99	7.65	6	100
11/09/2015 05:30	10.9	8.89	7.94	11.1	8.01	3.14	8.33	6	100
11/09/2015 05:35	9.57	8.54	8.62	10.14	9.61	2.3	8.13	6	100
11/09/2015 05:40	12	10.22	9.48	10.4	10.14	2.55	9.13	6	100
11/09/2015 05:45	9.8	9.34	9.58	11.86	12.14	2.25	9.16	6	100
11/09/2015 05:50	10.17	9.18	9.29	13.32	9.45	2.88	9.05	6	100
11/09/2015 05:55	9.66	9.72	8.43	13.35	12.52	1.98	9.28	6	100
11/09/2015 06:00	8.06	7.84	8.98	11.36	10.83	3.87	8.49	6	100
11/09/2015 06:05	9.62	9.58	9.22	11.73	11.77	4.33	9.38	6	100
11/09/2015 06:10	9.45	8.47	11.09	13.06	10.75	3.82	9.44	6	100
11/09/2015 06:15	10.63	9.34	10.4	13.85	11.64	3.42	9.88	6	100
11/09/2015 06:20	9.48	8.03	8.95	14.79	10.33	2.39	9	6	100
11/09/2015 06:25	8.69	9.09	8.38	12.24	13.49	3.26	9.19	6	100
11/09/2015 06:30	8.39	8.2	7.34	12.14	12.21	4.27	8.76	6	100
11/09/2015 06:35	9.44	8.66	8.52	13.05	12.1	2.82	9.1	6	100
11/09/2015 06:40	9.57	7.14	8.47	14.63	13.64	2.92	9.39	6	100
11/09/2015 06:45	9.31	9.56	9.48	14.31	15.72	3.28	10.28	6	100
11/09/2015 06:50	9.86	7.96	9.03	14.48	12.54	4.69	9.76	6	100
11/09/2015 06:55	7.91	9.44	9.61	14.05	15.21	3.81	10.01	6	100
11/09/2015 07:00	10.22	9.19	9.52	14.68	15.68	4.87	10.69	6	100
11/09/2015 07:05	8.74	9.47	9.94	16.16	14.37	3.26	10.32	6	100
11/09/2015 07:10	8.33	9.19	13.68	13.53	14.62	2.96	10.38	6	100
11/09/2015 07:15	9.29	8.51	24.74	16.79	16.3	4.36	13.33	6	100
11/09/2015 07:20	9.04	8.31	10.02	17.73	18.35	5.09	11.42	6	100
11/09/2015 07:25	10.37	8.86	13.06	18.75	29.95	4.75	14.29	6	100
11/09/2015 07:30	7.48	8.31	14.06	18.94	16.4	4.64	11.64	6	100
11/09/2015 07:35	8.21	8.91	11.39	18.76	19.06	4.93	11.88	6	100
11/09/2015 07:40	7.76	7.93	12.76	18.92	18.63	4.64	11.77	6	100
11/09/2015 07:45	8.37	9.93	11.95	20.31	21.89	6.3	13.13	6	100
11/09/2015 07:50	8.34	10.54	11.76	18.9	16.68	5.26	11.91	6	100
11/09/2015 07:55	10	9.4	11.36	20.06	20.33	5.97	12.85	6	100
11/09/2015 08:00	9.79	10.45	11.28	20.74	21.96	4.17	13.06	6	100
11/09/2015 08:05	9.88	11.56	15.06	21.71	25.23	5.96	14.9	6	100
11/09/2015 08:10	9.12	9.41	11.32	20.05	21.23	5.55	12.78	6	100
11/09/2015 08:15	9.88	10.85	13.28	20.15	21.4	6.13	13.61	6	100
11/09/2015 08:20	10.49	9.76	13.36	19.75	19.26	6.87	13.25	6	100
11/09/2015 08:25	8.97	10.13	13.17	19.19	19.19	4.68	12.55	6	100
11/09/2015 08:30	10.74	10.11	12.88	20.17	16.17	6.99	12.84	6	100
11/09/2015 08:35	9.67	9.59	13.75	21.25	18.91	6.23	13.23	6	100
11/09/2015 08:40	9.02	9.59	12.71	18.41	19.6	7.48	12.8	6	100
