5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/02/2015 00:00	33	41	44	36	45	7	206	6	100
11/02/2015 00:05	30	49	51	35	47	7	219	6	100
11/02/2015 00:10	32	56	44	36	37	9	214	6	100
11/02/2015 00:15	31	44	41	31	40	4	191	6	100
11/02/2015 00:20	20	36	38	26	38	11	169	6	100
11/02/2015 00:25	23	34	27	30	42	8	164	6	100
11/02/2015 00:30	27	41	36	26	39	9	178	6	100
11/02/2015 00:35	28	41	31	27	45	4	176	6	100
11/02/2015 00:40	22	40	31	35	36	4	168	6	100
11/02/2015 00:45	17	25	24	21	33	7	127	6	100
11/02/2015 00:50	16	33	28	30	27	9	143	6	100
11/02/2015 00:55	20	25	29	21	30	3	128	6	100
11/02/2015 01:00	18	28	26	22	21	6	121	6	100
11/02/2015 01:05	17	19	18	18	28	1	101	6	100
11/02/2015 01:10	13	20	18	19	19	4	93	6	100
11/02/2015 01:15	15	19	15	20	16	5	90	6	100
11/02/2015 01:20	15	22	24	15	17	4	97	6	100
11/02/2015 01:25	8	11	12	20	21	3	75	6	100
11/02/2015 01:30	8	22	16	21	16	2	85	6	100
11/02/2015 01:35	11	22	15	14	16	3	81	6	100
11/02/2015 01:40	12	16	21	12	22	3	86	6	100
11/02/2015 01:45	11	13	23	16	18	0	81	6	100
11/02/2015 01:50	11	11	26	18	14	0	80	6	100
11/02/2015 01:55	9	20	14	15	18	2	78	6	100
11/02/2015 02:00	6	23	16	16	17	1	79	6	100
11/02/2015 02:05	5	11	17	10	14	3	60	6	100
11/02/2015 02:10	8	15	8	16	17	4	68	6	100
11/02/2015 02:15	5	19	16	15	20	4	79	6	100
11/02/2015 02:20	13	17	18	13	16	4	81	6	100
11/02/2015 02:25	9	19	16	16	27	3	90	6	100
11/02/2015 02:30	8	13	13	16	13	2	65	6	100
11/02/2015 02:35	6	13	17	13	10	1	60	6	100
11/02/2015 02:40	9	17	23	13	12	2	76	6	100
11/02/2015 02:45	4	9	12	13	10	1	49	6	100
11/02/2015 02:50	12	17	11	9	14	0	63	6	100
11/02/2015 02:55	18	19	15	21	14	5	92	6	100
11/02/2015 03:00	9	17	18	14	12	3	73	6	100
11/02/2015 03:05	6	15	26	11	16	1	75	6	100
11/02/2015 03:10	14	23	22	20	13	1	93	6	100
11/02/2015 03:15	13	19	23	14	14	0	83	6	100
11/02/2015 03:20	13	19	22	16	15	0	85	6	100
11/02/2015 03:25	8	19	24	14	15	1	81	6	100
11/02/2015 03:30	13	17	19	10	15	2	76	6	100
11/02/2015 03:35	15	29	18	26	10	3	101	6	100
11/02/2015 03:40	17	21	27	23	24	4	116	6	100
11/02/2015 03:45	21	28	33	18	27	1	128	6	100
11/02/2015 03:50	24	35	25	29	25	2	140	6	100
11/02/2015 03:55	23	33	28	22	23	1	130	6	100
